Title,First Author,Journal,Publication Year,DOI
Deep learning-based markerless lung tumor tracking in stereotactic radiotherapy using Siamese networks,"Grama, Dragos (1); Dahele, Max (1); van Rooij, Ward (1); Slotman, Ben (1); Gupta, Deepak K. (2); Verbakel, Wilko F.A.R. (1)",Medical Physics,2023,
Achieving Searchable and Privacy-Preserving Data Sharing for Cloud-Assisted E-Healthcare System,"Xu, Chang (1); Wang, Ningning (1); Zhu, Liehuang (1); Sharif, Kashif (1); Zhang, Chuan (1)",IEEE Internet of Things Journal,2019,
A Bayesian hierarchical hidden Markov model for clustering and gene selection: Application to kidney cancer gene expression data,"Chekouo, Thierry (1); Mukherjee, Himadri (2)",Biometrical Journal,2024,
Robust Collaborative Clustering of Subjects and Radiomic Features for Cancer Prognosis,"Liu, Hangfan (1); Li, Hongming (1); Habes, Mohamad (1); Li, Yuemeng (1); Boimel, Pamela (2); Janopaul-Naylor, James (2); Xiao, Ying (2); Ben-Josef, Edgar (2); Fan, Yong (3)",IEEE Transactions on Biomedical Engineering,2020,
Case study: Spark GPU-enabled framework to control COVID-19 spread using cell-phone spatio-temporal data,"Abdallah, Hussein Shahata (1); Khafagy, Mohamed H. (1); Omara, Fatma A. (2)","Computers, Materials and Continua",2020,
Fast Quasi-Newton Algorithms for Penalized Reconstruction in Emission Tomography and Further Improvements via Preconditioning,"Tsai, Yu-Jung (1); Bousse, Alexandre (1); Ehrhardt, Matthias J. (2); Stearns, Charles W. (3); Ahn, Sangtae (4); Hutton, Brian F. (1, 5); Arridge, Simon (6); Thielemans, Kris (1)",IEEE Transactions on Medical Imaging,2018,
Mining productive-periodic frequent patterns in tele-health systems,"Ismail, Walaa N. (1); Hassan, Mohammad Mehedi (1); Alsalamah, Hessah A. (1); Fortino, Giancarlo (2)",Journal of Network and Computer Applications,2018,
Plasmode simulation for the evaluation of pharmacoepidemiologic methods in complex healthcare databases,"Franklin, Jessica M. (1); Schneeweiss, Sebastian (1); Polinski, Jennifer M. (1); Rassen, Jeremy A. (1)",Computational Statistics and Data Analysis,2014,
Meta-Learning Based Interactively Connected Clique U-Net for Quantitative Susceptibility Mapping,"Li, Zheng (1); Li, Jun (2); Wang, Chaoyue (3); Lu, Zhiyang (1); Wang, Jun (1); He, Hongjian (4); Shi, Jun (1)",IEEE Transactions on Computational Imaging,2021,
D3D augmented reality imaging system: Proof of concept in mammography,"Douglas, David B. (1); Petricoin, Emanuel F. (2); Liotta, Lance (2); Wilson, Eugene (3)",Medical Devices: Evidence and Research,2016,
Multiple Sclerosis Lesion Synthesis in MRI Using an Encoder-Decoder U-NET,"Salem, Mostafa (1, 2); Valverde, Sergi (1); Cabezas, Mariano (1); Pareto, Deborah (3); Oliver, Arnau (1); Salvi, Joaquim (1); Rovira, Alex (3); Llado, Xavier (1)",IEEE Access,2019,
Anatomically-aided PET reconstruction using the kernel method,"Hutchcroft, Will (1); Wang, Guobao (1); Chen, Kevin T. (2); Catana, Ciprian (2); Qi, Jinyi (1)",Physics in Medicine and Biology,2016,
High-fidelity fast volumetric brain MRI using synergistic wave-controlled aliasing in parallel imaging and a hybrid denoising generative adversarial network (HDnGAN),"Li, Ziyu (1); Tian, Qiyuan (2, 3); Ngamsombat, Chanon (2, 4); Cartmell, Samuel (5); Conklin, John (2, 3, 5); Filho, Augusto Lio M. Gonçalves (2, 5); Lo, Wei-Ching (6); Wang, Guangzhi (1); Ying, Kui (7); Setsompop, Kawin (2, 3, 8); Fan, Qiuyun (2, 3); Bilgic, Berkin (2, 3, 8); Cauley, Stephen (2, 3); Huang, Susie Y. (2, 3, 8)",Medical Physics,2022,
Continuous time recurrent neural networks: Overview and benchmarking at forecasting blood glucose in the intensive care unit,"Fitzgerald, Oisin (1); Perez-Concha, Oscar (1); Gallego-Luxan, Blanca (1); Metke-Jimenez, Alejandro (2); Rudd, Lachlan (3); Jorm, Louisa (1)",Journal of Biomedical Informatics,2023,
Classifying vaguely labeled data based on evidential fusion,"Song, Moxian (1, 2); Sun, Chenxi (1, 2); Cai, Derun (1, 2); Hong, Shenda (3, 4); Li, Hongyan (1, 2)",Information Sciences,2022,
An intelligent system for predicting and preventing MERS-CoV infection outbreak,"Sandhu, Rajinder (1); Sood, Sandeep K. (1); Kaur, Gurpreet (1)",Journal of Supercomputing,2016,
A Bayesian inference method to estimate transmission trees with multiple introductions; applied to SARS-CoV-2 in Dutch mink farms,"Van der Roest, Bastiaan R. (1); Bootsma, Martin C.J. (1, 2); Fischer, Egil A.J. (3); Klinkenberg, Don (4); Kretzschmar, Mirjam E.E. (1, 4)",PLoS Computational Biology,2023,
Interpretable Data-Driven Approach Based on Feature Selection Methods and GAN-Based Models for Cardiovascular Risk Prediction in Diabetic Patients,"Chushig-Muzo, David (1); Calero-Diaz, Hugo (1); Lara-Abelenda, Francisco J. (1); Gomez-Martinez, Vanesa (1); Granja, Conceicao (2); Soguero-Ruiz, Cristina (1)",IEEE Access,2024,
In-Mapper combiner based MapReduce algorithm for processing of big climate data,"Manogaran, Gunasekaran (1); Lopez, Daphne (2); Chilamkurti, Naveen (3)",Future Generation Computer Systems,2018,
Understanding random resampling techniques for class imbalance correction and their consequences on calibration and discrimination of clinical risk prediction models,"Piccininni, Marco (1, 2, 3); Wechsung, Maximilian (4); Van Calster, Ben (5, 6, 7); Rohmann, Jessica L. (3, 8); Konigorski, Stefan (1, 2, 9); van Smeden, Maarten (10)",Journal of Biomedical Informatics,2024,
Brain MR image denoising for Rician noise using pre-smooth non-local means filter,"Yang, Jian (1); Fan, Jingfan (1); Ai, Danni (1); Zhou, Shoujun (2); Tang, Songyuan (1); Wang, Yongtian (1)",BioMedical Engineering Online,2015,
Real-time query processing optimization for cloud-based wireless body area networks,"Diallo, Ousmane (1, 2); Rodrigues, Joel J.P.C. (1); Sene, Mbaye (2); Niu, Jianwei (3)",Information Sciences,2014,
Patient-Specific Biomechanical Modeling for Guidance During Minimally-Invasive Hepatic Surgery,"Plantefève, Rosalie (1); Peterlik, Igor (2); Haouchine, Nazim (3); Cotin, Stéphane (3)",Annals of Biomedical Engineering,2016,
Relaxivity-iron calibration in hepatic iron overload: Predictions of a Monte Carlo model,"Ghugre, Nilesh R. (1, 2); Doyle, Eamon K. (3); Storey, Pippa (4); Wood, John C. (5)",Magnetic Resonance in Medicine,2015,
Building motion models of lung tumours from cone-beam CT for radiotherapy applications,"Martin, James (1); McClelland, Jamie (1); Yip, Connie (2); Thomas, Christopher (3); Hartill, Clare (2); Ahmad, Shahreen (2); O'Brien, Richard (2); Meir, Ivan (4); Landau, David (2); Hawkes, David (1)",Physics in Medicine and Biology,2013,
Spatial linear mixed effects modelling for oct images: Slme model,"Zhu, Wenyue (1); Ku, Jae Yee (1, 2); Zheng, Yalin (1, 2); Knox, Paul C. (1, 2); Kolamunnage-Dona, Ruwanthi (3); Czanner, Gabriela (1, 2, 4)",Journal of Imaging,2020,
Neural network based filter for continuous glucose monitoring : Online tuning with Extended Kalman Filter algorithm,"Shanthi, S. (1); Kumar, D. (2)",WSEAS Transactions on Information Science and Applications,2012,
Anomaly detection and artifact recovery in PET attenuation-correction images using the likelihood function,"Laymon, Charles M. (1); Bowsher, James E. (2)",IEEE Journal on Selected Topics in Signal Processing,2013,
A new approach for the deep order preserving submatrix problem based on sequential pattern mining,"Xue, Yun (1); Li, Tiechen (1); Liu, Zhiwen (1); Pang, Chaoyi (2); Li, Meihang (1); Liao, Zhengling (1); Hu, Xiaohui (1)",International Journal of Machine Learning and Cybernetics,2018,
Attenuation-emission alignment in cardiac PET/CT based on consistency conditions,"Alessio, Adam M. (1); Kinahan, Paul E. (1); Champley, Kyle M. (1); Caldwell, James H. (2)",Medical Physics,2010,
Comparing measured and simulated wave directions in the left atrium a workflow for model personalization and validation,"Burdumy, Michael (1); Luik, Armin (2); Neher, Peter (1, 3); Hanna, Raghed (1, 3); Krueger, Martin W. (1); Schilling, Christopher (1); Barschdorf, Hans (3); Lorenz, Cristian (3); Seemann, Gunnar (1); Schmitt, Claus (2); Doessel, Olaf (1); Weber, Frank M. (1)",Biomedizinische Technik,2012,
Simplifying volumes-of-interest (VOIs) definition in quantitative SPECT: Beyond manual definition of 3D whole-organ VOIs,"Vicente, Esther M. (1); Lodge, Martin A. (1); Rowe, Steven P. (1); Wahl, Richard L. (2); Frey, Eric C. (1)",Medical Physics,2017,
Automatic 3-D breath-hold related motion correction of dynamic multislice MRI,"Elen, An (1); Hermans, Jeroen (1); Ganame, Javier (3); Loeckx, Dirk (1); Bogaert, Jan (2); Maes, Frederik (1); Suetens, Paul (1)",IEEE Transactions on Medical Imaging,2010,
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,"Hao, Jie (1); Zou, Xin (2); Wilson, Martin P. (3, 5); Davies, Nigel P. (3, 4, 5); Sun, Yu (3, 5); Peet, Andrew C. (3, 5); Arvanitis, Theodoros N. (1, 5)",NMR in Biomedicine,2009,
Information flow and health policy literacy: The role of: The media,"Wolbring, Gregor (1); Leopatra, Verlyn (2); Yumakulov, Sophya (2)",Information (Switzerland),2012,
Self-adapting cyclic registration for motion-compensated cone-beam CT in image-guided radiation therapy,"Brehm, Marcus (1); Paysan, Pascal (2); Oelhafen, Markus (2); Kunz, Patrik (2); Kachelrie, Marc (1, 3)",Medical Physics,2012,
Bayesian estimation of finite time ruin probabilities,"Ausin, M. Concepcion (1); Wiper, Michael P. (2); Lillo, Rosa E. (2)",Applied Stochastic Models in Business and Industry,2009,
Pixel-by-pixel deconvolution of bolus-tracking data: Optimization and implementation,"Sourbron, S. (1, 2); Dujardin, M. (2); Makkat, S. (2); Luypaert, R. (2)",Physics in Medicine and Biology,2007,
Modelling automotive warranty claims with build-to-sale data uncertainty,"Kleyner, Andre (1); Sanborn, Keith (1)",International Journal of Reliability and Safety,2008,
Statistical projection completion in X-ray CT using consistency conditions,"Xu, Jingyan (1); Taguchi, Katsuyuki (1); Tsui, Benjamin M.W. (1)",IEEE Transactions on Medical Imaging,2010,
Monte Carlo simulations of clinical PET and SPECT scans: Impact of the input data on the simulated images,"Stute, S. (1); Carlier, T. (2); Cristina, K. (1); Noblet, C. (2); Martineau, A. (3); Hutton, B. (4); Barnden, L. (4); Buvat, I. (1)",Physics in Medicine and Biology,2011,
Assessing the accuracy of land cover change with imperfect ground reference data,"Foody, Giles M. (1)",Remote Sensing of Environment,2010,
The effect of rare variants on inflation of the test statistics in case-control analyses,"Pirie, Ailith (1); Wood, Angela (1); Lush, Michael (1); Tyrer, Jonathan (2); Pharoah, Paul D.P. (1, 2)",BMC Bioinformatics,2015,
A Dirichlet process mixture model for the analysis of correlated binary responses,"Jara, Alejandro (1); José García-Zattera, María (1); Lesaffre, Emmanuel (1)",Computational Statistics and Data Analysis,2007,
Registration of 4D cardiac CT sequences under trajectory constraints with multichannel diffeomorphic demons,"Peyrat, Jean-Marc (1); Delingette, Herv (1); Sermesant, Maxime (1, 2); Xu, Chenyang (3); Ayache, Nicholas (1)",IEEE Transactions on Medical Imaging,2010,
Accuracy of partial volume effect correction in clinical molecular imaging of dopamine transporter using SPECT,"Soret, Marine (1); Alaoui, Jawad (2); Koulibaly, Pierre M. (3); Darcourt, Jacques (3); Buvat, Irène (2)","Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",2007,
Theoretical and experimental determination of dosimetric characteristics for ADVANTAGE™ Pd-103 brachytherapy source,"Meigooni, Ali S. (1); Dini, Sharifeh A. (1); Awan, Shahid B. (1); Dou, Kai (1); Koona, Rafiq A. (1)",Applied Radiation and Isotopes,2006,
Implementation of an analytically based scatter correction in SPECT reconstructions,"Vandervoort, Eric (1); Celler, Anna (2); Wells, Glenn (3); Blinder, Stéphan (2); Dixon, Katherine (1); Pang, Yanxin (4)",IEEE Transactions on Nuclear Science,2005,
GAAE: a novel genetic algorithm based on autoencoder with ensemble classifiers for imbalanced healthcare data,"Ram, Pintu Kumar (1); Kuila, Pratyay (1)",Journal of Supercomputing,2023,
Data Generation With Filtered β-VAE for the Preoperative Prediction of Adverse Events,"Yamasaki, Yuki (1); Doi, Chiaki (1); Kitagawa, Shiori (1); Seki, Hiroyuki (2, 3); Shigeno, Hiroshi (1)",IEEE Access,2023,
Generating and evaluating cross-sectional synthetic electronic healthcare data: Preserving data utility and patient privacy,"Wang, Zhenchen (1); Myles, Puja (1); Tucker, Allan (2)",Computational Intelligence,2021,
Challenges and opportunities beyond structured data in analysis of electronic health records,"Tayefi, Maryam (1); Ngo, Phuong (1); Chomutare, Taridzo (1); Dalianis, Hercules (1, 2); Salvi, Elisa (1); Budrionis, Andrius (1); Godtliebsen, Fred (1, 3)",Wiley Interdisciplinary Reviews: Computational Statistics,2021,
Bt-GAN: Generating Fair Synthetic Healthdata via Bias-transforming Generative Adversarial Networks,"Ramachandranpillai, Resmi (1); Sikder, Md Fahim (1); Bergström, David (1); Heintz, Fredrik (1)",Journal of Artificial Intelligence Research,2024,
Deep Generative Models for Synthetic Data: A Survey,"Eigenschink, Peter (1); Reutterer, Thomas (1); Vamosi, Stefan (1); Vamosi, Ralf (1, 2); Sun, Chang (3); Kalcher, Klaudius (4)",IEEE Access,2023,
Generation of realistic synthetic data using Multimodal Neural Ordinary Differential Equations,"Wendland, Philipp (1, 2); Birkenbihl, Colin (1, 3); Gomez-Freixa, Marc (3); Sood, Meemansa (1, 3); Kschischo, Maik (2); Fröhlich, Holger (1, 3)",npj Digital Medicine,2022,
Quantum Kernels for Real-World Predictions Based on Electronic Health Records,"Krunic, Zoran (1); Flother, Frederik (2); Seegan, George (1); Earnest-Noble, Nate (3); Omar, Shehab (3)",IEEE Transactions on Quantum Engineering,2022,
Generating high-fidelity synthetic patient data for assessing machine learning healthcare software,"Tucker, Allan (1); Wang, Zhenchen (2); Rotalinti, Ylenia (3); Myles, Puja (2)",npj Digital Medicine,2020,
Generating synthetic training data for supervised de-identification of electronic health records,"Libbi, Claudia Alessandra (1, 2); Trienes, Jan (2, 3); Trieschnigg, Dolf (2); Seifert, Christin (1, 3)",Future Internet,2021,
Labeling Self-Tracked Menstrual Health Records with Hidden Semi-Markov Models,"Symul, Laura (1); Holmes, Susan (1)",IEEE Journal of Biomedical and Health Informatics,2022,
Developing an ML pipeline for asthma and COPD: The case of a Dutch primary care service,"Mariani, Stefano (1); Metting, Esther (2); Lahr, Maarten M. H. (2); Vargiu, Eloisa (3); Zambonelli, Franco (1)",International Journal of Intelligent Systems,2021,
Data protection impact assessment case study for a research project using artificial intelligence on patient data,"Várkonyi, Gizem Gültekin (1); Gradišek, Anton (2)",Informatica (Slovenia),2020,
Seven Ways to Evaluate the Utility of Synthetic Data,"El Emam, Khaled (1)",IEEE Security and Privacy,2020,
Deep learning for cranioplasty in clinical practice: Going from synthetic to real patient data,"Kodym, Oldřich (1); Španěl, Michal (1); Herout, Adam (1)",Computers in Biology and Medicine,2021,
Mppds: Multilevel privacy-preserving data sharing in a collaborative ehealth system,"Kim, Jong Wook (1); Edemacu, Kennedy (1); Jang, Beakcheol (1)",IEEE Access,2019,
From heterogeneous healthcare data to disease-specific biomarker networks: A hierarchical Bayesian network approach,"Becker, Ann-Kristin (1); Dörr, Marcus (2, 3); Felix, Stephan B. (2, 3); Frost, Fabian (4); Grabe, Hans J. (5); Lerch, Markus M. (4); Nauck, Matthias (6); Völker, Uwe (7); Völzke, Henry (8); Kaderali, Lars (1)",PLoS Computational Biology,2021,
Design and implementation of distributed ledger based health data management system,"Moon, Junho (1); Kim, Dongsoo (1)","International Journal of Innovative Computing, Information and Control",2020,
Generation and evaluation of privacy preserving synthetic health data,"Yale, Andrew (1); Dash, Saloni (3); Dutta, Ritik (4); Guyon, Isabelle (2); Pavao, Adrien (2); Bennett, Kristin P. (1)",Neurocomputing,2020,
Some reliability issues for incomplete two-dimensional warranty claims data,"Kumar Gupta, Sanjib (1); De, Soumen (2); Chatterjee, Aditya (3)",Reliability Engineering and System Safety,2017,
"Isabl Platform, a digital biobank for processing multimodal patient data","Medina-Martínez, Juan S. (1, 2); Arango-Ossa, Juan E. (1); Levine, Max F. (1); Zhou, Yangyu (1); Gundem, Gunes (1); Kung, Andrew L. (1); Papaemmanuil, Elli (1)",BMC Bioinformatics,2020,
Multi-Label Clinical Time-Series Generation via Conditional GAN,"Lu, Chang (1); Reddy, Chandan K. (2); Wang, Ping (1); Nie, Dong (3); Ning, Yue (1)",IEEE Transactions on Knowledge and Data Engineering,2024,
Improved Coupled Tensor Factorization with Its Applications in Health Data Analysis,"Wu, Qing (1); Wang, Jie (1); Fan, Jin (1); Xu, Gang (1); Wu, Jia (2); Johnson, Blake (3); Li, Xingfei (1); Do, Quan (4); Ge, Ruiquan (1)",Complexity,2019,
HOW TO OVERCOME LACK OF HEALTH RECORD DATA AND PRIVACY OBSTACLES IN INITIAL PHASES OF MEDICAL DATA ANALYSIS PROJECTS,"Mohamad, Yehya (1); Gabber, Alexander (2); Heidenblut, Sonja (2); Zenz, Daniel (3); Siddiqi, Anam (1); Gappa, Henrike (1)",Computing and Informatics,2022,
Mimicking clinical trials with synthetic acute myeloid leukemia patients using generative artificial intelligence,"Eckardt, Jan-Niklas (1, 2); Hahn, Waldemar (3, 4); Röllig, Christoph (1); Stasik, Sebastian (1); Platzbecker, Uwe (5); Müller-Tidow, Carsten (6); Serve, Hubert (7); Baldus, Claudia D. (8); Schliemann, Christoph (9); Schäfer-Eckart, Kerstin (10); Hanoun, Maher (11); Kaufmann, Martin (12); Burchert, Andreas (13); Thiede, Christian (1); Schetelig, Johannes (1); Sedlmayr, Martin (4); Bornhäuser, Martin (1, 14, 15); Wolfien, Markus (3, 4); Middeke, Jan Moritz (1, 2)",npj Digital Medicine,2024,
To Link or Synthesize? An Approach to Data Quality Comparison,"Smith, Duncan (1); Elliot, Mark (1); Sakshaug, Joseph W. (2)",Journal of Data and Information Quality,2023,
Use of an open-source electronic health record to establish a 'virtual hospital': A tale of two curricula,"Medlock, Stephanie (1, 2); Ploegmakers, Kim J. (3); Cornet, Ronald (1, 2); Pang, Kim Win (3)",International Journal of Medical Informatics,2023,
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,"Weng, Xutao (1); Song, Hong (1); Lin, Yucong (2); Wu, You (3); Zhang, Xi (1); Liu, Bowen (3); Yang, Jian (2)",Computers in Biology and Medicine,2024,
COMMUTE: Communication-efficient transfer learning for multi-site risk prediction,"Gu, Tian (1); Lee, Phil H. (2, 3, 4); Duan, Rui (1)",Journal of Biomedical Informatics,2023,
"A joint model for multistate disease processes and random informative observation times, with applications to electronic medical records data","Lange, Jane M. (1); Hubbard, Rebecca A. (1, 2); Inoue, Lurdes Y. T. (1); Minin, Vladimir N. (3)",Biometrics,2015,
Spatial mixture multiscale modeling for aggregated health data,"Aregay, Mehreteab (1); Lawson, Andrew B. (1); Faes, Christel (2); Kirby, Russell S. (3); Carroll, Rachel (1); Watjou, Kevin (2)",Biometrical journal. Biometrische Zeitschrift,2016,
Camera-based fall detection using real-world versus simulated data: How far are we from the solution?,"Debard, Glen (1, 2, 3); Mertens, Marc (1, 4); Deschodt, Mieke (5, 6); Vlaeyen, Ellen (5); Devriendt, Els (5, 6); Dejaeger, Eddy (6, 7); Milisen, Koen (5, 6); Tournoy, Jos (6, 7); Croonenborghs, Tom (2, 4); Goedemé, Toon (3, 8); Tuytelaars, Tinne (3, 9); Vanrumste, Bart (2, 10, 11)",Journal of Ambient Intelligence and Smart Environments,2016,
Cross-comparison of three electromyogram decomposition algorithms assessed with experimental and simulated data,"Dai, Chenyun (1); Li, Yejin (1); Christie, Anita (2); Bonato, Paolo (3); McGill, Kevin C. (4); Clancy, Edward A. (1)",IEEE Transactions on Neural Systems and Rehabilitation Engineering,2015,
SPINNED: Simulation-based physics-informed neural network for deconvolution of dynamic susceptibility contrast MRI perfusion data,"Asaduddin, Muhammad (1); Kim, Eung Yeop (2); Park, Sung-Hong (1)",Magnetic Resonance in Medicine,2024,
Diffusion-based conditional ECG generation with structured state space models,"Alcaraz, Juan Miguel Lopez (1); Strodthoff, Nils (1)",Computers in Biology and Medicine,2023,
A probabilistic generative model to discover the treatments of coexisting diseases with missing data,"Zaballa, Onintze (1); Pérez, Aritz (1); Gómez-Inhiesto, Elisa (2); Acaiturri-Ayesta, Teresa (2); Lozano, Jose A. (1, 3)",Computer Methods and Programs in Biomedicine,2024,
Multi-view representation learning for tabular data integration using inter-feature relationships,"Tripathi, Sandhya (1); Fritz, Bradley A. (1); Abdelhack, Mohamed (3); Avidan, Michael S. (1); Chen, Yixin (2); King, Christopher R. (1)",Journal of Biomedical Informatics,2024,
Overcoming barriers to data sharing with medical image generation: a comprehensive evaluation,"DuMont Schütte, August (1, 2); Hetzel, Jürgen (3, 4); Gatidis, Sergios (5); Hepp, Tobias (2, 5); Dietz, Benedikt (1); Bauer, Stefan (2, 6, 7); Schwab, Patrick (7)",npj Digital Medicine,2021,
MedWGAN based synthetic dataset generation for Uveitis pathology,"Sliman, Heithem (1); Megdiche, Imen (1, 2); Alajramy, Loay (3); Taweel, Adel (3); Yangui, Sami (4); Drira, Aida (5); Lamine, Elyes (1, 6)",Intelligent Systems with Applications,2023,
