Title,First Author,Journal,Publication Year,DOI,Duplicates,Number
A Case for Synthetic Data in Regulatory Decision-Making in Europe,"Alloza, C; Knox, B; Raad, H; Aguilà, M; Coakley, C; Mohrova, Z; Boin, E; Bénard, M; Davies, J; Jacquot, E; Lecomte, C; Fabre, A; Batech, M",CLINICAL PHARMACOLOGY & THERAPEUTICS,2023,10.1002/cpt.3001,TRUE,3
"A Causal Perspective on OSIM2 Data Generation, with Implications for Simulation Study Design and Interpretation","Gruber, S",JOURNAL OF CAUSAL INFERENCE,2015,10.1515/jci-2014-0008,FALSE,1
A cautionary note on the use of G-computation in population adjustment,Vo TT,Res Synth Methods,2023,10.1002/jrsm.1621,FALSE,1
A clustering approach to identify rare variants associated with hypertension,Sun R,BMC Proc,2016,10.1186/s12919-016-0022-0,FALSE,1
A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data,Ahmadi N,Sci Rep,2024,10.1038/s41598-024-52723-y,TRUE,1
A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data,"Ahmadi, Najia (57283529300); Nguyen, Quang Vu (58139719100); Sedlmayr, Martin (56043034300); Wolfien, Markus (55633497900)",Scientific Reports,2024,10.1038/s41598-024-52723-y,TRUE,2
A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data,"Ahmadi, N; Nguyen, QV; Sedlmayr, M; Wolfien, M",SCIENTIFIC REPORTS,2024,10.1038/s41598-024-52723-y,TRUE,3
A comparative study of clinical trial and real-world data in patients with diabetic kidney disease,Kurki S,Sci Rep,2024,10.1038/s41598-024-51938-3,TRUE,1
A comparative study of clinical trial and real-world data in patients with diabetic kidney disease,"Kurki, Samu (56017774800); Halla-aho, Viivi (57216901061); Haussmann, Manuel (57201359103); Lähdesmäki, Harri (6507121329); Leinonen, Jussi V. (58295401100); Koskinen, Miika (7005357055)",Scientific Reports,2024,10.1038/s41598-024-51938-3,TRUE,2
A comparative study of clinical trial and real-world data in patients with diabetic kidney disease,"Kurki, S; Halla-aho, V; Haussmann, M; Laehdesmaeki, H; Leinonen, JV; Koskinen, M",SCIENTIFIC REPORTS,2024,10.1038/s41598-024-51938-3,TRUE,3
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,Hao J,NMR Biomed,2009,10.1002/nbm.1393,TRUE,1
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,"Hao, Jie (57215026752); Zou, Xin (56253955300); Wilson, Martin P. (57196691806); Davies, Nigel P. (35232883900); Sun, Yu (57206700640); Peet, Andrew C. (6601966879); Arvanitis, Theodoros N. (6701910707)",NMR in Biomedicine,2009,10.1002/nbm.1393,TRUE,2
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,"Hao, J; Zou, X; Wilson, MP; Davies, NP; Sun, Y; Peet, AC; Arvanitis, TN",NMR IN BIOMEDICINE,2009,10.1002/nbm.1393,TRUE,3
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,"Hao, Jie (1); Zou, Xin (2); Wilson, Martin P. (3, 5); Davies, Nigel P. (3, 4, 5); Sun, Yu (3, 5); Peet, Andrew C. (3, 5); Arvanitis, Theodoros N. (1, 5)",NMR in Biomedicine,2009,,TRUE,4
A comparative study: classification vs. user-based collaborative filtering for clinical prediction,Hao F,BMC Med Res Methodol,2016,10.1186/s12874-016-0261-9,TRUE,1
A comparative study: Classification vs. user-based collaborative filtering for clinical prediction,"Hao, Fang (57192890193); Blair, Rachael Hageman (55221038100)",BMC Medical Research Methodology,2016,10.1186/s12874-016-0261-9,TRUE,2
A comparative study: classification vs. user-based collaborative filtering for clinical prediction,"Hao, F; Blair, RH",BMC MEDICAL RESEARCH METHODOLOGY,2016,10.1186/s12874-016-0261-9,TRUE,3
A comparison of Bayesian spatial models for disease mapping,Best N,Stat Methods Med Res,2005,10.1191/0962280205sm388oa,TRUE,1
A comparison of Bayesian spatial models for disease mapping,"Best, Nicky (57195924579); Richardson, Sylvia (7202589117); Thomson, Andrew (57213499394)",Statistical Methods in Medical Research,2005,10.1191/0962280205sm388oa,TRUE,2
A comparison of Bayesian spatial models for disease mapping,"Best, N; Richardson, S; Thomson, A",STATISTICAL METHODS IN MEDICAL RESEARCH,2005,10.1191/0962280205sm388oa,TRUE,3
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,Benasseur I,Pharmacoepidemiol Drug Saf,2022,10.1002/pds.5403,TRUE,1
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,"Benasseur, Imane (57401805400); Talbot, Denis (7102178100); Durand, Madeleine (54079686700); Holbrook, Anne (7006796261); Matteau, Alexis (16241772000); Potter, Brian J. (8554576200); Renoux, Christel (16643840100); Schnitzer, Mireille E. (37034990300); Tarride, Jean-Éric (10143478600); Guertin, Jason R. (36970502400)",Pharmacoepidemiology and Drug Safety,2022,10.1002/pds.5403,TRUE,2
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,"Benasseur, I; Talbot, D; Durand, M; Holbrook, A; Matteau, A; Potter, BJ; Renoux, C; Schnitzer, ME; Tarride, JE; Guertin, JR",PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,2022,10.1002/pds.5403,TRUE,3
A comparison of Cox and logistic regression for use in genome-wide association studies of cohort and case-cohort design,Staley JR,Eur J Hum Genet,2017,10.1038/ejhg.2017.78,TRUE,1
A comparison of Cox and logistic regression for use in genome-wide association studies of cohort and case-cohort design,"Staley, JR; Jones, E; Kaptoge, S; Butterworth, AS; Sweeting, MJ; Wood, AM; Howson, JMM",EUROPEAN JOURNAL OF HUMAN GENETICS,2017,10.1038/ejhg.2017.78,TRUE,2
A comparison of methods for fixed effects meta-analysis of individual patient data with time to event outcomes,Tudur Smith C,Clin Trials,2007,10.1177/1740774507085276,TRUE,1
A comparison of methods for fixed effects meta-analysis of individual patient data with time to event outcomes,"Smith, Catrin Tudur (8983034400); Williamson, Paula Ruth (57212501855)",Clinical Trials,2007,10.1177/1740774507085276,TRUE,2
A comparison of methods for fixed effects meta-analysis of individual patient data with time to event outcomes,"Smith, CT; Williamson, PR",CLINICAL TRIALS,2007,10.1177/1740774507085276,TRUE,3
A comparison of synthetic data generation and federated analysis for enabling international evaluations of cardiovascular health,Azizi Z,Sci Rep,2023,10.1038/s41598-023-38457-3,TRUE,1
A comparison of synthetic data generation and federated analysis for enabling international evaluations of cardiovascular health,"Azizi, Zahra (56711810200); Lindner, Simon (57219686726); Shiba, Yumika (57696194500); Raparelli, Valeria (16031620500); Norris, Colleen M. (7202617641); Kublickiene, Karolina (6602181875); Herrero, Maria Trinidad (59157654800); Kautzky-Willer, Alexandra (7003883837); Klimek, Peter (24076624200); Gisinger, Teresa (57219048785); Pilote, Louise (7005840921); El Emam, Khaled (7004609665)",Scientific Reports,2023,10.1038/s41598-023-38457-3,TRUE,2
A comparison of synthetic data generation and federated analysis for enabling international evaluations of cardiovascular health,"Azizi, Z; Lindner, S; Shiba, Y; Raparelli, V; Norris, CM; Kublickiene, K; Herrero, MT; Kautzky-Willer, A; Klimek, P; Gisinger, T; Pilote, L; El Emam, K",SCIENTIFIC REPORTS,2023,10.1038/s41598-023-38457-3,TRUE,3
A comparison study on creating simulated patient data for individuals suffering from chronic coronary disorders,Koloi A,Annu Int Conf IEEE Eng Med Biol Soc,2023,10.1109/EMBC40787.2023.10340194,FALSE,1
A comprehensive review and shiny application on the matching-adjusted indirect comparison,Jiang Z,Res Synth Methods,2024,10.1002/jrsm.1709,FALSE,1
"A Comprehensive Review Study on: Optimized Data Mining, Machine Learning and Deep Learning Techniques for Breast Cancer Prediction in Big Data Context","Kirola, Madhu (57226121339); Memoria, Minakshi (57218936166); Dumka, Ankur (56159612000); Tripathi, Amrendra (56316553500); Joshi, Kapil (57209511667)",Biomedical and Pharmacology Journal,2022,10.13005/bpj/2339,FALSE,1
A Data-Driven Model for Simulating Longitudinal Visual Field Tests in Glaucoma,"Li, Yan (57872485500); Eizenman, Moshe (6701402159); Shi, Runjie B. (57204479156); Buys, Yvonne M. (7003519598); Trope, Graham E. (35601121500); Wong, Willy (7403972221)",Translational Vision Science and Technology,2023,10.1167/tvst.12.6.27,FALSE,1
A Deep Learning Framework for Predicting Patient Decannulation on Extracorporeal Membrane Oxygenation Devices: Development and Model Analysis Study,Fuller J,JMIR Biomed Eng,2024,10.2196/48497,FALSE,1
A digital twins machine learning model for forecasting disease progression in stroke patients,"Allen, Angier (57211532103); Siefkas, Anna (57218477307); Pellegrini, Emily (57211535118); Burdick, Hoyt (57216730526); Barnes, Gina (57218478476); Calvert, Jacob (57189321063); Mao, Qingqing (43361568200); Das, Ritankar (57173576500)",Applied Sciences (Switzerland),2021,10.3390/app11125576,TRUE,1
A Digital Twins Machine Learning Model for Forecasting Disease Progression in Stroke Patients,"Allen, A; Siefkas, A; Pellegrini, E; Burdick, H; Barnes, G; Calvert, J; Mao, QQ; Das, R",APPLIED SCIENCES-BASEL,2021,10.3390/app11125576,TRUE,2
A Dirichlet process mixture model for the analysis of correlated binary responses,"Jara, Alejandro (25629702000); José García-Zattera, María (16301283000); Lesaffre, Emmanuel (19135017500)",Computational Statistics and Data Analysis,2007,10.1016/j.csda.2006.09.010,TRUE,1
A Dirichlet process mixture model for the analysis of correlated binary responses,"Jara, A; García-Zattera, MJ; Lesaffre, E",COMPUTATIONAL STATISTICS & DATA ANALYSIS,2007,10.1016/j.csda.2006.09.010,TRUE,2
A Dirichlet process mixture model for the analysis of correlated binary responses,"Jara, Alejandro (1); Jos√© Garc√≠a-Zattera, Mar√≠a (1); Lesaffre, Emmanuel (1)",Computational Statistics and Data Analysis,2007,,TRUE,3
A flexible framework for sequential estimation of model parameters in computational hemodynamics,Arthurs CJ,Adv Model Simul Eng Sci,2020,10.1186/s40323-020-00186-x,TRUE,1
A flexible framework for sequential estimation of model parameters in computational hemodynamics,"Arthurs, Christopher J. (55012360900); Xiao, Nan (57193097383); Moireau, Philippe (8947115200); Schaeffter, Tobias (56821457500); Figueroa, C. Alberto (36861762700)",Advanced Modeling and Simulation in Engineering Sciences,2020,10.1186/s40323-020-00186-x,TRUE,2
A flexible mixed data model applied to claims data for post-market surveillance of prescription drug safety behavior,"Butler, H; Rice, JD; Carlson, NE; Morrato, EH",PHARMACEUTICAL STATISTICS,2022,10.1002/pst.2213,FALSE,1
A flexible mixed-data model applied to claims data for post-market surveillance of prescription drug safety behavior,Butler H,Pharm Stat,2022,10.1002/pst.2213,TRUE,1
A flexible mixed-data model applied to claims data for post-market surveillance of prescription drug safety behavior,"Butler, Harris (57221324233); Rice, John D. (57218253054); Carlson, Nichole E. (8348677800); Morrato, Elaine H. (8518178400)",Pharmaceutical Statistics,2022,10.1002/pst.2213,TRUE,2
A Framework for Evaluating Synthetic Electronic Health Records,Budu E,Stud Health Technol Inform,2023,10.3233/SHTI230149,FALSE,1
A framework for mining signatures from event sequences and its applications in healthcare data,Wang F,IEEE Trans Pattern Anal Mach Intell,2013,10.1109/TPAMI.2012.111,TRUE,1
A framework for mining signatures from event sequences and its applications in healthcare data,"Wang, Fei (56177292700); Lee, Noah (23389421500); Hu, Jianying (55499375800); Sun, Jimeng (9737233900); Ebadollahi, Shahram (6507685249); Laine, Andrew F. (26643433600)",IEEE Transactions on Pattern Analysis and Machine Intelligence,2013,10.1109/TPAMI.2012.111,TRUE,2
A Framework for Mining Signatures from Event Sequences and Its Applications in Healthcare Data,"Wang, F; Lee, N; Hu, JY; Sun, JM; Ebadollahi, S; Laine, AF",IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2013,10.1109/TPAMI.2012.111,TRUE,3
A framework for mining signatures from event sequences and its applications in healthcare data,"Wang, Fei (1); Lee, Noah (2); Hu, Jianying (1); Sun, Jimeng (1); Ebadollahi, Shahram (1); Laine, Andrew F. (3)",IEEE Transactions on Pattern Analysis and Machine Intelligence,2013,,TRUE,4
A framework for mining signatures from event sequences and its applications in healthcare data,"Wang, Fei (1); Lee, Noah (2); Hu, Jianying (1); Sun, Jimeng (1); Ebadollahi, Shahram (1); Laine, Andrew F. (3)",IEEE Transactions on Pattern Analysis and Machine Intelligence,2013,,TRUE,5
A framework for the detection of de novo mutations in family-based sequencing data,Francioli LC,Eur J Hum Genet,2017,10.1038/ejhg.2016.147,TRUE,1
A framework for the detection of de novo mutations in family-based sequencing data,"Francioli, LC; Cretu-Stancu, M; Garimella, KV; Fromer, M; Kloosterman, WP; Samocha, KE; Neale, BM; Daly, MJ; Banks, E; DePristo, MA; de Bakker, PIW",EUROPEAN JOURNAL OF HUMAN GENETICS,2017,10.1038/ejhg.2016.147,TRUE,2
A framework for the economic analysis of data collection methods for vital statistics,Jimenez-Soto E,PLoS One,2014,10.1371/journal.pone.0106234,TRUE,1
A framework for the economic analysis of data collection methods for vital statistics,"Jimenez-Soto, Eliana (55228418900); Hodge, Andrew (26654190400); Nguyen, Kim-Huong (55228510800); Dettrick, Zoe (42160900800); Lopez, Alan D. (7401455668)",PLoS ONE,2014,10.1371/journal.pone.0106234,TRUE,2
A Framework for the Economic Analysis of Data Collection Methods for Vital Statistics,"Jimenez-Soto, E; Hodge, A; Nguyen, KH; Dettrick, Z; Lopez, AD",PLOS ONE,2014,10.1371/journal.pone.0106234,TRUE,3
A Generative Adversarial Network (GAN) Technique for Internet of Medical Things Data,Vaccari I,Sensors (Basel),2021,10.3390/s21113726,TRUE,1
A generative adversarial network (GAN) technique for internet of medical things data,"Vaccari, Ivan (57200916184); Orani, Vanessa (57217857599); Paglialonga, Alessia (23668671800); Cambiaso, Enrico (55418311400); Mongelli, Maurizio (7005882346)",Sensors,2021,10.3390/s21113726,TRUE,2
A Generative Adversarial Network (GAN) Technique for Internet of Medical Things Data,"Vaccari, I; Orani, V; Paglialonga, A; Cambiaso, E; Mongelli, M",SENSORS,2021,10.3390/s21113726,TRUE,3
A generative adversarial network (GAN) technique for internet of medical things data,"Vaccari, Ivan (1); Orani, Vanessa (1); Paglialonga, Alessia (2); Cambiaso, Enrico (1); Mongelli, Maurizio (1)",Sensors,2021,,TRUE,4
A Generative and Causal Pharmacokinetic Model for Factor VIII in Hemophilia A: A Machine Learning Framework for Continuous Model Refinement,Janssen A,Clin Pharmacol Ther,2024,10.1002/cpt.3203,TRUE,1
A Generative and Causal Pharmacokinetic Model for Factor VIII in Hemophilia A: A Machine Learning Framework for Continuous Model Refinement,"Janssen, Alexander (57213259191); Smalbil, Louk (57217387530); Bennis, Frank C. (57195487126); Cnossen, Marjon H. (57201703409); Mathôt, Ron A. A. (7004492604)",Clinical Pharmacology and Therapeutics,2024,10.1002/cpt.3203,TRUE,2
A Generative and Causal Pharmacokinetic Model for Factor VIII in Hemophilia A: A Machine Learning Framework for Continuous Model Refinement,"Janssen, A; Smalbil, L; Bennis, FC; Cnossen, MH; Mathôt, RAA",CLINICAL PHARMACOLOGY & THERAPEUTICS,2024,10.1002/cpt.3203,TRUE,3
A hierarchically adaptable spatial regression model to link aggregated health data and environmental data,"Truong, Phuong N. (55508145000); Stein, Alfred (7401758587)",Spatial Statistics,2018,10.1016/j.spasta.2017.11.002,TRUE,1
A hierarchically adaptable spatial regression model to link aggregated health data and environmental data,"Truong, PN; Stein, A",SPATIAL STATISTICS,2018,10.1016/j.spasta.2017.11.002,TRUE,2
A hybrid dynamic wavelet-based modeling method for blood glucose concentration prediction in type 1 diabetes,"Isfahani, Mohsen (57212196209); Zekri, Maryam (23981791800); Marateb, Hamid (35759194200); Faghihimani, Elham (57189574613)",Journal of Medical Signals and Sensors,2020,10.4103/jmss.JMSS_62_19,FALSE,1
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,Weng X,Comput Biol Med,2024,10.1016/j.compbiomed.2023.107687,TRUE,1
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,"Weng, Xutao (57296223300); Song, Hong (7404037613); Lin, Yucong (57212110354); Wu, You (58724928900); Zhang, Xi (58530099800); Liu, Bowen (58735843400); Yang, Jian (57091071100)",Computers in Biology and Medicine,2024,10.1016/j.compbiomed.2023.107687,TRUE,2
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,"Weng, XT; Song, H; Lin, YC; Wu, Y; Zhang, X; Liu, BW; Yang, J",COMPUTERS IN BIOLOGY AND MEDICINE,2024,10.1016/j.compbiomed.2023.107687,TRUE,3
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,"Weng, Xutao (1); Song, Hong (1); Lin, Yucong (2); Wu, You (3); Zhang, Xi (1); Liu, Bowen (3); Yang, Jian (2)",Computers in Biology and Medicine,2024,,TRUE,4
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,"Weng, Xutao (1); Song, Hong (1); Lin, Yucong (2); Wu, You (3); Zhang, Xi (1); Liu, Bowen (3); Yang, Jian (2)",Computers in Biology and Medicine,2024,,TRUE,5
"A joint model for multistate disease processes and random informative observation times, with applications to electronic medical records data",Lange JM,Biometrics,2015,10.1111/biom.12252,TRUE,1
"A joint model for multistate disease processes and random informative observation times, with applications to electronic medical records data","Lange, Jane M. (7402027796); Hubbard, Rebecca A. (37050897800); Inoue, Lurdes Y. T. (8698010700); Minin, Vladimir N. (57200905370)",Biometrics,2015,10.1111/biom.12252,TRUE,2
"A Joint Model for Multistate Disease Processes and Random Informative Observation Times, with Applications to Electronic Medical Records Data","Lange, JM; Hubbard, RA; Inoue, LYT; Minin, VN",BIOMETRICS,2015,10.1111/biom.12252,TRUE,3
"A joint model for multistate disease processes and random informative observation times, with applications to electronic medical records data","Lange, Jane M. (1); Hubbard, Rebecca A. (1, 2); Inoue, Lurdes Y. T. (1); Minin, Vladimir N. (3)",Biometrics,2015,,TRUE,4
"A joint model for multistate disease processes and random informative observation times, with applications to electronic medical records data","Lange, Jane M. (1); Hubbard, Rebecca A. (1, 2); Inoue, Lurdes Y. T. (1); Minin, Vladimir N. (3)",Biometrics,2015,,TRUE,5
A joint spatial factor analysis model to accommodate data from misaligned areal units with application to Louisiana social vulnerability,Nethery RC,Biostatistics,2019,10.1093/biostatistics/kxy016,TRUE,1
A joint spatial factor analysis model to accommodate data from misaligned areal units with application to Louisiana social vulnerability,"Nethery, Rachel C (56830523900); Sandler, Dale P (57204338750); Zhao, Shanshan (55975155800); Engel, Lawrence S (57204015041); Kwok, Richard K (12802823300)",Biostatistics,2019,10.1093/biostatistics/kxy016,TRUE,2
A joint spatial factor analysis model to accommodate data from misaligned areal units with application to Louisiana social vulnerability,"Nethery, RC; Sandler, DP; Zhao, SS; Engel, LS; Kwok, RK",BIOSTATISTICS,2019,10.1093/biostatistics/kxy016,TRUE,3
A Learned Reconstruction Network for SPECT Imaging,Shao W,IEEE Trans Radiat Plasma Med Sci,2021,10.1109/trpms.2020.2994041,TRUE,1
A Learned Reconstruction Network for SPECT Imaging,"Shao, Wenyi (14030312600); Pomper, Martin G. (35248909800); Du, Yong (8680350400)",IEEE Transactions on Radiation and Plasma Medical Sciences,2021,10.1109/TRPMS.2020.2994041,TRUE,2
A Learned Reconstruction Network for SPECT Imaging,"Shao, WY; Pomper, MG; Du, Y",IEEE TRANSACTIONS ON RADIATION AND PLASMA MEDICAL SCIENCES,2021,10.1109/TRPMS.2020.2994041,TRUE,3
A Learned Reconstruction Network for SPECT Imaging,"Shao, Wenyi (1); Pomper, Martin G. (1); Du, Yong (1)",IEEE Transactions on Radiation and Plasma Medical Sciences,2021,,TRUE,4
A likelihood ratio approach for utilizing case-control data in the clinical classification of rare sequence variants: application to BRCA1 and BRCA2,Zanti M,Hum Mutat,2023,10.1155/2023/9961341,TRUE,1
A Likelihood Ratio Approach for Utilizing Case-Control Data in the Clinical Classification of Rare Sequence Variants: Application to BRCA1 and BRCA2,"Zanti, M; O'Mahony, DG; Parsons, MT; Li, HY; Dennis, J; Aittomäkkiki, K; Andrulis, IL; Anton-Culver, H; Aronson, KJ; Augustinsson, A; Becher, H; Bojesen, SE; Bolla, MK; Brenner, H; Brown, MA; Buys, SS; Canzian, F; Caputo, SM; Castelao, JE; Chang-Claude, J; Czene, K; Daly, MB; De Nicolo, A; Devilee, P; Dörk, T; Dunning, AM; Dwek, M; Eccles, DM; Engel, C; Evans, DG; Fasching, PA; Gago-Dominguez, M; García-Closas, M; García-Sáenz, JA; Gentry-Maharaj, A; Geurts-Giele, WRR; Giles, GG; Glendon, G; Goldberg, MS; Garcia, EBG; Güendert, M; Guénel, P; Hahnen, E; Haiman, CA; Hall, P; Hamann, U; Harkness, EF; Hogervorst, FBL; Hollestelle, A; Hoppe, R; Hopper, JL; Houdayer, C; Houlston, RS; Howell, A; Investigators, A; Jakimovska, M; Jakubowska, A; Jernström, H; John, EM; Kaaks, R; Kitahara, CM; Koutros, S; Kraft, P; Kristensen, VN; Lacey, J; Lambrechts, D; Léoné, M; Lindblom, A; Lush, M; Mannermaa, A; Manoochehri, M; Manoukian, S; Margolin, S; Martinez, ME; Menon, U; Milne, RL; Monteiro, AN; Murphy, RA; Neuhausen, SL; Nevanlinna, H; Newman, WG; Offit, K; Park, SK; James, P; Peterlongo, P; Peto, J; Plaseska-Karanfilska, D; Punie, K; Radice, P; Rashid, MU; Rennert, G; Romero, A; Rosenberg, EH; Saloustros, E; Sandler, DP; Schmidt, MK; Schmutzler, RK; Shu, XO; Simard, J; Southey, MC; Stone, J; Stoppa-Lyonnet, D; Tamimi, RM; Tapper, WJ; Taylor, JA; Teo, SH; Teras, LR; Terry, MB; Thomassen, M; Troester, MA; Vachon, CM; Vega, A; Vreeswijk, MPG; Wang, Q; Wappenschmidt, B; Weinberg, CR; Wolk, A; Zheng, W; Feng, BJ; Couch, FJ; Spurdle, AB; Easton, DF; Goldgar, DE; Michailidou, K",HUMAN MUTATION,2023,10.1155/2023/9961341,TRUE,2
A linearization approach for the model-based analysis of combined aggregate and individual patient data,Ravva P,Stat Med,2014,10.1002/sim.6045,TRUE,1
A linearization approach for the model-based analysis of combined aggregate and individual patient data,"Ravva, Patanjali (26030046600); Karlsson, Mats O. (57023018900); French, Jonathan L. (55796629771)",Statistics in Medicine,2014,10.1002/sim.6045,TRUE,2
A linearization approach for the model-based analysis of combined aggregate and individual patient data,"Ravva, P; Karlsson, MO; French, JL",STATISTICS IN MEDICINE,2014,10.1002/sim.6045,TRUE,3
A machine learning approach for individual claims reserving in insurance,"Baudry, Maximilien (57208597185); Robert, Christian Y. (8419063900)",Applied Stochastic Models in Business and Industry,2019,10.1002/asmb.2455,TRUE,1
A machine learning approach for individual claims reserving in insurance,"Baudry, M; Robert, CY",APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,2019,10.1002/asmb.2455,TRUE,2
A machine learning approach for individual claims reserving in insurance,"Baudry, Maximilien (1, 2); Robert, Christian Y. (1, 2)",Applied Stochastic Models in Business and Industry,2019,,TRUE,3
A machine learning approach for individual claims reserving in insurance,"Baudry, Maximilien (1, 2); Robert, Christian Y. (1, 2)",Applied Stochastic Models in Business and Industry,2019,,TRUE,4
A memory-based simulated annealing algorithm and a new auxiliary function for the fixed-outline floorplanning with soft blocks,"Zou, Dexuan (1); Wang, Gai-Ge (2); Sangaiah, Arun K. (3); Kong, Xiangyong (1)",Journal of Ambient Intelligence and Humanized Computing,2024,,TRUE,1
