Authors,Title,Journal,Publication Year,DOI
Synthetic data & the future of Women's Health: A synergistic relationship,"Delanerolle, G; Phiri, P; Cavalini, H; Benfield, D; Shetty, A; Bouchareb, Y; Shi, JQ; Zemkoho, A",INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,2023,10.1016/j.ijmedinf.2023.105238
An overview of synthetic administrative data for research,"Kokosi, T; De Stavola, B; Mitra, R; Frayling, L; Doherty, A; Dove, I; Sonnenberg, P; Harron, K",INTERNATIONAL JOURNAL OF POPULATION DATA SCIENCE (IJPDS),2022,10.23889/ijpds.v7i1.1727
Keeping synthetic patients on track: feedback mechanisms to mitigate performance drift in longitudinal health data simulation,"Zhang, ZQ; Yan, C; Malin, BA",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2022,10.1093/jamia/ocac131
Barriers to data quality resulting from the process of coding health information to administrative data: a qualitative study,"Lucyk, K; Tang, K; Quan, H",BMC HEALTH SERVICES RESEARCH,2017,10.1186/s12913-017-2697-y
Generating synthetic personal health data using conditional generative adversarial networks combining with differential privacy,"Sun, C; van Soest, J; Dumontier, M",JOURNAL OF BIOMEDICAL INFORMATICS,2023,10.1016/j.jbi.2023.104404
The potential synergies between synthetic data and in silico trials in relation to generating representative virtual population cohorts,"Myles, P; Ordish, J; Tucker, A",PROGRESS IN BIOMEDICAL ENGINEERING,2023,10.1088/2516-1091/acafbf
Flexible and Fine-Grained Access Control for EHR in Blockchain-Assisted E-Healthcare Systems,"Chen, DJ; Zhang, L; Liao, ZY; Dai, HN; Zhang, N; Shen, XM; Pang, MH",IEEE INTERNET OF THINGS JOURNAL,2024,10.1109/JIOT.2023.3328382
Generating synthetic mixed discrete-continuous health records with mixed sum-product networks,"Kroes, SKS; van Leeuwen, M; Groenwold, RHH; Janssen, MP",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2022,10.1093/jamia/ocac184
Generating sequential electronic health records using dual adversarial autoencoder,"Lee, D; Yu, H; Jiang, XQ; Rogith, D; Gudala, M; Tejani, M; Zhang, QC; Xiong, L",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2020,10.1093/jamia/ocaa119
Challenges and opportunities beyond structured data in analysis of electronic health records,"Tayefi, M; Ngo, P; Chomutare, T; Dalianis, H; Salvi, E; Budrionis, A; Godtliebsen, F",WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL STATISTICS,2021,10.1002/wics.1549
A method for generating synthetic longitudinal health data,"Mosquera, L; El Emam, K; Ding, L; Sharma, V; Zhang, XH; El Kababji, S; Carvalho, C; Hamilton, B; Palfrey, D; Kong, LL; Jiang, B; Eurich, DT",BMC MEDICAL RESEARCH METHODOLOGY,2023,10.1186/s12874-023-01869-w
Generating Synthetic Training Data for Supervised De-Identification of Electronic Health Records,"Libbi, CA; Trienes, J; Trieschnigg, D; Seifert, C",FUTURE INTERNET,2021,10.3390/fi13050136
The Promise and Limitations of Synthetic Data as a Strategy to Expand Access to State-Level Multi-Agency Longitudinal Data,"Bonnéry, D; Feng, Y; Henneberger, AK; Johnson, TL; Lachowicz, M; Rose, BA; Shaw, T; Stapleton, LM; Woolley, ME; Zheng, YT",JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS,2019,10.1080/19345747.2019.1631421
A comparison of synthetic data generation and federated analysis for enabling international evaluations of cardiovascular health,"Azizi, Z; Lindner, S; Shiba, Y; Raparelli, V; Norris, CM; Kublickiene, K; Herrero, MT; Kautzky-Willer, A; Klimek, P; Gisinger, T; Pilote, L; El Emam, K",SCIENTIFIC REPORTS,2023,10.1038/s41598-023-38457-3
Generating synthetic data,"Ayilara, OF; Platt, RW; Dahl, M; Coulombe, J; Ginestet, PG; Chateau, D; Lix, LM",INTERNATIONAL JOURNAL OF POPULATION DATA SCIENCE (IJPDS),2023,10.23889/ijpds.v8i1.2176
Detecting anomalous sequences in electronic health records using higher-order tensor networks,"Niu, HR; Omitaomu, OA; Langston, MA; Olama, M; Ozmen, O; Klasky, HB; Laurio, A; Sauer, B; Ward, M; Nebeker, J",JOURNAL OF BIOMEDICAL INFORMATICS,2022,10.1016/j.jbi.2022.104219
Membership inference attacks against synthetic health data,"Zhang, ZQ; Yan, C; Malin, BA",JOURNAL OF BIOMEDICAL INFORMATICS,2022,10.1016/j.jbi.2021.103977
Generation and evaluation of privacy preserving synthetic health data,"Yale, A; Dash, S; Dutta, R; Guyon, I; Pavao, A; Bennett, KP",NEUROCOMPUTING,2020,10.1016/j.neucom.2019.12.136
"Patient-centric synthetic data generation, no reason to risk re-identification in biomedical data analysis","Guillaudeux, M; Rousseau, O; Petot, J; Bennis, Z; Dein, CA; Goronflot, T; Vince, N; Limou, S; Karakachoff, M; Wargny, M; Gourraud, PA",NPJ DIGITAL MEDICINE,2023,10.1038/s41746-023-00771-5
Anonymization Through Data Synthesis Using Generative Adversarial Networks (ADS-GAN),"Yoon, J; Drumright, LN; van der Schaar, M",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,2020,10.1109/JBHI.2020.2980262
Nonstationary multivariate Gaussian processes for electronic health records,"Meng, R; Soper, B; Lee, HKH; Liu, VX; Greene, JD; Ray, P",JOURNAL OF BIOMEDICAL INFORMATICS,2021,10.1016/j.jbi.2021.103698
Modelling NHS England 111 demand for primary care services: a discrete event simulation,"Pilbery, R; Smith, M; Green, J; Chalk, D; O'Keeffe, CA",BMJ OPEN,2023,10.1136/bmjopen-2023-076203
MPPDS: Multilevel Privacy-Preserving Data Sharing in a Collaborative eHealth System,"Kim, JW; Edemacu, K; Jang, B",IEEE ACCESS,2019,10.1109/ACCESS.2019.2933542
Privacy and Utility of Private Synthetic Data for Medical Data Analyses,"Appenzeller, A; Leitner, M; Philipp, P; Krempel, E; Beyerer, J",APPLIED SCIENCES-BASEL,2022,10.3390/app122312320
Case report: evaluation of an open-source synthetic data platform for simulation studies,"Meeker, D; Kallem, C; Heras, Y; Garcia, S; Thompson, C",JAMIA OPEN,2022,10.1093/jamiaopen/ooac067
Exploring the utility of synthetic data to extract more value from sensitive health data assets: A focused example in perinatal epidemiology,"Braddon, AE; Robinson, S; Alati, R; Betts, KS",PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,2023,10.1111/ppe.12942
Re-identification potential of structured health data,"Drechsler, J; Pauly, H",BUNDESGESUNDHEITSBLATT-GESUNDHEITSFORSCHUNG-GESUNDHEITSSCHUTZ,2024,10.1007/s00103-023-03820-2
A new method for protecting interrelated time series with Bayesian prior distributions and synthetic data,"Schneider, MJ; Abowd, JM",JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,2015,10.1111/rssa.12100
Genomic health data generation in the UK: a 360 view,"Ormondroyd, E; Border, P; Hayward, J; Papanikitas, A",EUROPEAN JOURNAL OF HUMAN GENETICS,2022,10.1038/s41431-021-00976-w
Comparison of Synthetic Data Generation Techniques for Control Group Survival Data in Oncology Clinical Trials: Simulation Study,"Akiya, I; Ishihara, T; Yamamoto, K",JMIR MEDICAL INFORMATICS,2024,10.2196/55118
Privacy preserving Generative Adversarial Networks to model Electronic Health Records,"Venugopal, R; Shafqat, N; Venugopal, I; Tillbury, BMJ; Stafford, HD; Bourazeri, A",NEURAL NETWORKS,2022,10.1016/j.neunet.2022.06.022
Global passivity enforcement algorithm for macromodels of interconnect subnetworks characterized by tabulated data,"Saraswat, D; Achar, R; Nakhla, MS",IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,2005,10.1109/TVLSI.2005.850098
Generating synthetic mixed-type longitudinal electronic health records for artificial intelligent applications,"Li, J; Cairns, BJ; Li, JS; Zhu, TT",NPJ DIGITAL MEDICINE,2023,10.1038/s41746-023-00834-7
Evaluating bias due to data linkage error in electronic healthcare records,"Harron, K; Wade, A; Gilbert, R; Muller-Pebody, B; Goldstein, H",BMC MEDICAL RESEARCH METHODOLOGY,2014,10.1186/1471-2288-14-36
Validating a membership disclosure metric for synthetic health data,"El Emam, K; Mosquera, L; Fang, X",JAMIA OPEN,2022,10.1093/jamiaopen/ooac083
General and specific utility measures for synthetic data,"Snoke, J; Raab, GM; Nowok, B; Dibben, C; Slavkovic, A",JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,2018,10.1111/rssa.12358
"Synthea: An approach, method, and software mechanism for generating synthetic patients and the synthetic electronic health care record","Walonoski, J; Kramer, M; Nichols, J; Quina, A; Moesel, C; Hall, D; Duffett, C; Dube, K; Gallagher, T; McLachlan, S",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2018,10.1093/jamia/ocx079
Health data hubs: an analysis of existing data governance features for research,"Alvarez-Romero, C; Martínez-García, A; Bernabeu-Wittel, M; Parra-Calderón, CL",HEALTH RESEARCH POLICY AND SYSTEMS,2023,10.1186/s12961-023-01026-1
SYNTHESIZING GEOCODES TO FACILITATE ACCESS TO DETAILED GEOGRAPHICAL INFORMATION IN LARGE-SCALE ADMINISTRATIVE DATA,"Drechsler, J; Hu, JC",JOURNAL OF SURVEY STATISTICS AND METHODOLOGY,2021,10.1093/jssam/smaa035
Using synthetic data to replace linkage derived elements: a case study,"Resnick, DM; Cox, CS; Mirel, LB",HEALTH SERVICES AND OUTCOMES RESEARCH METHODOLOGY,2021,10.1007/s10742-021-00241-z
Deep Generative Models for Synthetic Data: A Survey,"Eigenschink, P; Reutterer, T; Vamosi, S; Vamosi, R; Sun, C; Kalcher, K",IEEE ACCESS,2023,10.1109/ACCESS.2023.3275134
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,"Weng, XT; Song, H; Lin, YC; Wu, Y; Zhang, X; Liu, BW; Yang, J",COMPUTERS IN BIOLOGY AND MEDICINE,2024,10.1016/j.compbiomed.2023.107687
Conducting a team-based multi-sited focused ethnography in primary care,"Bikker, AP; Atherton, H; Brant, H; Porqueddu, T; Campbell, JL; Gibson, A; McKinstry, B; Salisbury, C; Ziebland, S",BMC MEDICAL RESEARCH METHODOLOGY,2017,10.1186/s12874-017-0422-5
Spot the difference: comparing results of analyses from real patient data and synthetic derivatives,"Foraker, RE; Yu, SC; Gupta, A; Michelson, AP; Soto, JAP; Colvin, R; Loh, F; Kollef, MH; Maddox, T; Evanoff, B; Dror, H; Zamstein, N; Lai, AM; Payne, PRO",JAMIA OPEN,2020,10.1093/jamiaopen/ooaa060
"A Joint Model for Multistate Disease Processes and Random Informative Observation Times, with Applications to Electronic Medical Records Data","Lange, JM; Hubbard, RA; Inoue, LYT; Minin, VN",BIOMETRICS,2015,10.1111/biom.12252
Overview of reviews for practice and research in primary care. Development of a method checklist,"Driot, D; Rougé-Bugat, ME; Escourrou, É; Bismuth, M; Brillac, T; Oustric, S; Dupouy, J",EXERCER-LA REVUE FRANCOPHONE DE MEDECINE GENERALE,2018,
Predicting 5-year dementia conversion in veterans with mild cognitive impairment,"Irwin, C; Tjandra, D; Hu, CC; Aggarwal, V; Lienau, A; Giordani, B; Wiens, J; Migrino, RQ","ALZHEIMER'S & DEMENTIA: DIAGNOSIS, ASSESSMENT & DISEASE MONITORING",2024,10.1002/dad2.12572
Reliability of Supervised Machine Learning Using Synthetic Data in Health Care: Model to Preserve Privacy for Data Sharing,"Rankin, D; Black, M; Bond, R; Wallace, J; Mulvenna, M; Epelde, G",JMIR MEDICAL INFORMATICS,2020,10.2196/18910
Semi-supervised ROC analysis for reliable and streamlined evaluation of phenotyping algorithms,"Gao, JH; Bonzel, CL; Hong, C; Varghese, P; Zakir, K; Gronsbell, J",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2024,10.1093/jamia/ocad226
Large language models to identify social determinants of health in electronic health records,"Guevara, M; Chen, S; Thomas, S; Chaunzwa, TL; Franco, I; Kann, BH; Moningi, S; Qian, JM; Goldstein, M; Harper, S; Aerts, HJWL; Catalano, PJ; Savova, GK; Mak, RH; Bitterman, DS",NPJ DIGITAL MEDICINE,2024,10.1038/s41746-023-00970-0
Data Generation With Filtered β-VAE for the Preoperative Prediction of Adverse Events,"Yamasaki, Y; Doi, C; Kitagawa, S; Seki, H; Shigeno, H",IEEE ACCESS,2023,10.1109/ACCESS.2023.3276783
Synthetic data in medical research,"Kokosi, T; Harron, K",BMJ MEDICINE,2022,10.1136/bmjmed-2022-000167
Generating high-fidelity synthetic patient data for assessing machine learning healthcare software,"Tucker, A; Wang, ZC; Rotalinti, Y; Myles, P",NPJ DIGITAL MEDICINE,2020,10.1038/s41746-020-00353-9
Synthetic data as an enabler for machine learning applications in medicine,"Rajotte, JF; Bergen, R; Buckeridge, DL; El Emam, K; Ng, R; Strome, E",ISCIENCE,2022,10.1016/j.isci.2022.105331
An evaluation of synthetic data augmentation for mitigating covariate bias in health data,"Juwara, L; El-Hussuna, A; El Emam, K",PATTERNS,2024,10.1016/j.patter.2024.100946
Some reliability issues for incomplete two-dimensional warranty claims data,"Gupta, SK; De, S; Chatterjee, A",RELIABILITY ENGINEERING & SYSTEM SAFETY,2017,10.1016/j.ress.2016.08.015
Synthetic electronic health records generated with variational graph autoencoders,"Nikolentzos, G; Vazirgiannis, M; Xypolopoulos, C; Lingman, M; Brandt, EG",NPJ DIGITAL MEDICINE,2023,10.1038/s41746-023-00822-x
Deep-Learning-Driven Techniques for Real-Time Multimodal Health and Physical Data Synthesis,"Haleem, MS; Ekuban, A; Antonini, A; Pagliara, S; Pecchia, L; Allocca, C",ELECTRONICS,2023,10.3390/electronics12091989
Generating high-fidelity privacy-conscious synthetic patient data for causal effect estimation with multiple treatments,"Shi, JP; Wang, D; Tesei, G; Norgeot, B",FRONTIERS IN ARTIFICIAL INTELLIGENCE,2022,10.3389/frai.2022.918813
COMMUTE: Communication-efficient transfer learning for multi-site risk prediction,"Gu, T; Lee, PH; Duan, R",JOURNAL OF BIOMEDICAL INFORMATICS,2023,10.1016/j.jbi.2022.104243
Multi-Label Clinical Time-Series Generation via Conditional GAN,"Lu, C; Reddy, CK; Wang, P; Nie, D; Ning, Y",IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,2024,10.1109/TKDE.2023.3310909
Anomaly Identification during Polymerase Chain Reaction for Detecting SARS-CoV-2 Using Artificial Intelligence Trained from Simulated Data,"Villarreal-González, R; Acosta-Hoyos, AJ; Garzon-Ochoa, JA; Galán-Freyle, NJ; Amar-Sepúlveda, P; Pacheco-Londoño, LC",MOLECULES,2021,10.3390/molecules26010020
The application of unsupervised deep learning in predictive models using electronic health records,"Wang, L; Tong, LP; Davis, D; Arnold, T; Esposito, T",BMC MEDICAL RESEARCH METHODOLOGY,2020,10.1186/s12874-020-00923-1
Developing an ML pipeline for asthma and COPD: The case of a Dutch primary care service,"Mariani, S; Lahr, MMH; Metting, E; Vargiu, E; Zambonelli, F",INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,2021,10.1002/int.22568
Characterization of Synthetic Health Data Using Rule-Based Artificial Intelligence Models,"Lenatti, M; Paglialonga, A; Orani, V; Ferretti, M; Mongelli, M",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,2023,10.1109/JBHI.2023.3236722
Securing healthcare data in industrial cyber-physical systems using combining deep learning and blockchain technology,"Mohammed, MA; Lakhan, A; Zebari, DA; Ghani, MKA; Marhoon, HA; Abdulkareem, KH; Nedoma, J; Martinek, R",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2024,10.1016/j.engappai.2023.107612
Postprediction Inference for Clinical Characteristics Extracted With Machine Learning on Electronic Health Records,"Sondhi, A; Rich, AS; Wang, SR; Leek, JT",JCO CLINICAL CANCER INFORMATICS,2023,10.1200/CCI.22.00174
Using saturated count models for user-friendly synthesis of large confidential administrative databases,"Jackson, J; Mitra, R; Francis, B; Dove, I",JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,2022,10.1111/rssa.12876
Application of synthetic patient data in the assessment of rapid rule-out protocols using Point-of-Care testing during chest pain diagnosis in a UK emergency department,"Robinson, S; FitzGibbon, F; Eatock, J; Hunniford, T; Dixon, D; Meenan, BJ",JOURNAL OF SIMULATION,2009,10.1057/jos.2009.4
Investigating heterogeneity in an individual patient data meta-analysis of time to event outcomes,"Smith, CT; Williamson, PR; Marson, AG",STATISTICS IN MEDICINE,2005,10.1002/sim.2050
Hybrid Deep Learning Approach for Accurate Tumor Detection in Medical Imaging Data,"Cifci, MA; Hussain, S; Canatalay, PJ",DIAGNOSTICS,2023,10.3390/diagnostics13061025
The Use of Synthetic Electronic Health Record Data and Deep Learning to Improve Timing of High-Risk Heart Failure Surgical Intervention by Predicting Proximity to Catastrophic Decompensation,"Guo, AX; Foraker, RE; MacGregor, RM; Masood, FM; Cupps, BP; Pasque, MK",FRONTIERS IN DIGITAL HEALTH,2020,10.3389/fdgth.2020.576945
An evaluation of the replicability of analyses using synthetic health data,"El Emam, K; Mosquera, L; Fang, X; El-Hussuna, A",SCIENTIFIC REPORTS,2024,10.1038/s41598-024-57207-7
Exploring levers and barriers to accessing primary care for marginalised groups and identifying their priorities for primary care provision: a participatory learning and action research study,"O'Donnell, P; Tierney, E; O'Carroll, A; Nurse, D; MacFarlane, A",INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,2016,10.1186/s12939-016-0487-5
Evaluating Identity Disclosure Risk in Fully Synthetic Health Data: Model Development and Validation,"El Emam, K; Mosquera, L; Bass, J",JOURNAL OF MEDICAL INTERNET RESEARCH,2020,10.2196/23139
Can I trust my fake data - A comprehensive quality assessment framework for synthetic tabular data in healthcare,"Vallevik, VB; Babic, A; Marshall, SE; Elvatun, S; Brogger, HMB; Alagaratnam, S; Edwin, B; Veeraragavan, NR; Befring, AK; Nygard, JF",INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,2024,10.1016/j.ijmedinf.2024.105413
From heterogeneous healthcare data to disease-specific biomarker networks: A hierarchical Bayesian network approach,"Becker, AK; Dörr, M; Felix, SB; Frost, F; Grabe, HJ; Lerch, MM; Nauck, M; Völker, U; Völzke, H; Kaderali, L",PLOS COMPUTATIONAL BIOLOGY,2021,10.1371/journal.pcbi.1008735
Statistical Validation of Synthetic Data for Lung Cancer Patients Generated by Using Generative Adversarial Networks,"Gonzalez-Abril, L; Angulo, C; Ortega, JA; Lopez-Guerra, JL",ELECTRONICS,2022,10.3390/electronics11203277
Estimating lifetime medical costs from censored claims data,"Hwang, JS; Hu, TH; Lee, LJH; Wang, JD",HEALTH ECONOMICS,2017,10.1002/hec.3512
Privacy-preserving heterogeneous health data sharing,"Mohammed, N; Jiang, XQ; Chen, R; Fung, BCM; Ohno-Machado, L",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2013,10.1136/amiajnl-2012-001027
A Case for Synthetic Data in Regulatory Decision-Making in Europe,"Alloza, C; Knox, B; Raad, H; Aguilà, M; Coakley, C; Mohrova, Z; Boin, E; Bénard, M; Davies, J; Jacquot, E; Lecomte, C; Fabre, A; Batech, M",CLINICAL PHARMACOLOGY & THERAPEUTICS,2023,10.1002/cpt.3001
Improving the performance of machine learning penicillin adverse drug reaction classification with synthetic data and transfer learning,"Stanekova, V; Inglis, JM; Lam, L; Lam, A; Smith, W; Shakib, S; Bacchi, S",INTERNAL MEDICINE JOURNAL,2024,10.1111/imj.16360
Bt-GAN: Generating Fair Synthetic Healthdata via Bias-transforming Generative Adversarial Networks,"Ramachandranpillai, R; Sikder, MF; Bergström, D; Heintz, F",JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,2024,10.1613/jair.1.15317
Fold-stratified cross-validation for unbiased and privacy-preserving federated learning,"Bey, R; Goussault, R; Grolleau, F; Benchoufi, M; Porcher, R",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2020,10.1093/jamia/ocaa096
Linkage of patient records from disparate sources,"Li, XC; Shen, CY",STATISTICAL METHODS IN MEDICAL RESEARCH,2013,10.1177/0962280211403600
Cross-Comparison of Three Electromyogram Decomposition Algorithms Assessed With Experimental and Simulated Data,"Dai, CY; Li, YJ; Christie, A; Bonato, P; McGill, KC; Clancy, EA",IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,2015,10.1109/TNSRE.2014.2322586
DataSifterText: Partially Synthetic Text Generation for Sensitive Clinical Notes,"Zhou, NN; Wu, QC; Wu, ZW; Marino, S; Dinov, ID",JOURNAL OF MEDICAL SYSTEMS,2022,10.1007/s10916-022-01880-6
Electronic Patient-Generated Health Data to Facilitate Disease Prevention and Health Promotion: Scoping Review,"Nittas, V; Lun, P; Ehrler, F; Puhan, MA; Mütsch, M",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,10.2196/13320
Construction of Genealogical Knowledge Graphs From Obituaries: Multitask Neural Network Extraction System,"He, K; Yao, LX; Zhang, JW; Li, YF; Li, C",JOURNAL OF MEDICAL INTERNET RESEARCH,2021,10.2196/25670
Active Safety Monitoring of New Medical Products Using Electronic Healthcare Data Selecting Alerting Rules,"Gagne, JJ; Rassen, JA; Walker, AM; Glynn, RJ; Schneeweiss, S",EPIDEMIOLOGY,2012,10.1097/EDE.0b013e3182459d7d
The validity of synthetic clinical data: a validation study of a leading synthetic data generator (Synthea) using clinical quality measures,"Chen, JQ; Chun, D; Patel, M; Chiang, E; James, J",BMC MEDICAL INFORMATICS AND DECISION MAKING,2019,10.1186/s12911-019-0793-0
