Title,First Author,Journal,Publication Year,DOI
Contribution of Synthetic Data Generation towards an Improved Patient Stratification in Palliative Care,Hahn W,J Pers Med,2022,10.3390/jpm12081278
Utility Metrics for Evaluating Synthetic Health Data Generation Methods: Validation Study,El Emam K,JMIR Med Inform,2022,10.2196/35734
Breast cancer screening and overdiagnosis,Bulliard JL,Int J Cancer,2021,10.1002/ijc.33602
Generation and Evaluation of Synthetic Data in a University Hospital Setting,Kaabachi B,Stud Health Technol Inform,2022,10.3233/SHTI220420
Synthetic electronic health records generated with variational graph autoencoders,Nikolentzos G,NPJ Digit Med,2023,10.1038/s41746-023-00822-x
Generating synthetic mixed discrete-continuous health records with mixed sum-product networks,Kroes SKS,J Am Med Inform Assoc,2022,10.1093/jamia/ocac184
clusterBMA: Bayesian model averaging for clustering,Forbes O,PLoS One,2023,10.1371/journal.pone.0288000
Generative adversarial networks and synthetic patient data: current challenges and future perspectives,Arora A,Future Healthc J,2022,10.7861/fhj.2022-0013
Big science and big data in nephrology,Saez-Rodriguez J,Kidney Int,2019,10.1016/j.kint.2018.11.048
A method for generating synthetic longitudinal health data,Mosquera L,BMC Med Res Methodol,2023,10.1186/s12874-023-01869-w
Electronic Patient-Generated Health Data to Facilitate Disease Prevention and Health Promotion: Scoping Review,Nittas V,J Med Internet Res,2019,10.2196/13320
PEPS: Polygenic Epistatic Phenotype Simulation,Reguant R,Stud Health Technol Inform,2024,10.3233/SHTI231077
Unlocking data: Where is the key?,C Sánchez M,Bioethics,2019,10.1111/bioe.12565
EHR-Safe: generating high-fidelity and privacy-preserving synthetic electronic health records,Yoon J,NPJ Digit Med,2023,10.1038/s41746-023-00888-7
Synthetic data as an enabler for machine learning applications in medicine,Rajotte JF,iScience,2022,10.1016/j.isci.2022.105331
A Multifaceted benchmarking of synthetic electronic health record generation models,Yan C,Nat Commun,2022,10.1038/s41467-022-35295-1
Addressing healthcare disparities and managed care considerations with continuous glucose monitoring,McAdam-Marx C,Am J Manag Care,2022,10.37765/ajmc.2022.89215
Consent Management System on Patient-Generated Health Data,Randine P,Stud Health Technol Inform,2024,10.3233/SHTI230956
A Case for Synthetic Data in Regulatory Decision-Making in Europe,Alloza C,Clin Pharmacol Ther,2023,10.1002/cpt.3001
Synthesizing Electronic Health Records for Predictive Models in Low-Middle-Income Countries (LMICs),Ghosheh GO,Biomedicines,2023,10.3390/biomedicines11061749
Generation of realistic synthetic data using Multimodal Neural Ordinary Differential Equations,Wendland P,NPJ Digit Med,2022,10.1038/s41746-022-00666-x
Inferring actual treatment pathways from patient records,Wilkins-Caruana A,J Biomed Inform,2023,10.1016/j.jbi.2023.104554
Synthetic data & the future of Women's Health: A synergistic relationship,Delanerolle G,Int J Med Inform,2023,10.1016/j.ijmedinf.2023.105238
"Patient-centric synthetic data generation, no reason to risk re-identification in biomedical data analysis",Guillaudeux M,NPJ Digit Med,2023,10.1038/s41746-023-00771-5
Health data hubs: an analysis of existing data governance features for research,Alvarez-Romero C,Health Res Policy Syst,2023,10.1186/s12961-023-01026-1
Synthetic Patient Data Generation and Evaluation in Disease Prediction Using Small and Imbalanced Datasets,Rodriguez-Almeida AJ,IEEE J Biomed Health Inform,2023,10.1109/JBHI.2022.3196697
Generating synthetic data from administrative health records for drug safety and effectiveness studies,Ayilara OF,Int J Popul Data Sci,2023,10.23889/ijpds.v8i1.2176
Leveraging Artificial Intelligence and Synthetic Data Derivatives for Spine Surgery Research,Greenberg JK,Global Spine J,2023,10.1177/21925682221085535
Generating synthetic mixed-type longitudinal electronic health records for artificial intelligent applications,Li J,NPJ Digit Med,2023,10.1038/s41746-023-00834-7
Validating a membership disclosure metric for synthetic health data,El Emam K,JAMIA Open,2022,10.1093/jamiaopen/ooac083
Axes of a revolution: challenges and promises of big data in healthcare,Shilo S,Nat Med,2020,10.1038/s41591-019-0727-5
Fully synthetic neuroimaging data for replication and exploration,Vaden KI Jr,Neuroimage,2020,10.1016/j.neuroimage.2020.117284
A synthetic dataset of liver disorder patients,Nicora G,Data Brief,2023,10.1016/j.dib.2023.108921
Characterizing multi-omic data in systems biology,Mason CE,Adv Exp Med Biol,2014,10.1007/978-1-4614-8778-4_2
Application of Bayesian networks to generate synthetic health data,Kaur D,J Am Med Inform Assoc,2021,10.1093/jamia/ocaa303
Big Data Privacy in Biomedical Research,Wang S,IEEE Trans Big Data,2020,10.1109/TBDATA.2016.2608848
SynSys: A Synthetic Data Generation System for Healthcare Applications,Dahmen J,Sensors (Basel),2019,10.3390/s19051181
"In simulated data and health records, latent class analysis was the optimum multimorbidity clustering algorithm",Nichols L,J Clin Epidemiol,2022,10.1016/j.jclinepi.2022.10.011
Privacy preserving interactive record linkage (PPIRL),Kum HC,J Am Med Inform Assoc,2014,10.1136/amiajnl-2013-002165
Designing and testing a blockchain application for patient identity management in healthcare,Khurshid A,JAMIA Open,2021,10.1093/jamiaopen/ooaa073
Generating high-fidelity synthetic patient data for assessing machine learning healthcare software,Tucker A,NPJ Digit Med,2020,10.1038/s41746-020-00353-9
Federated learning for generating synthetic data: a scoping review,Little C,Int J Popul Data Sci,2023,10.23889/ijpds.v8i1.2158
Overcoming barriers to data sharing with medical image generation: a comprehensive evaluation,DuMont Schütte A,NPJ Digit Med,2021,10.1038/s41746-021-00507-3
Estimating Uncertainty Intervals from Collaborating Networks,Zhou T,J Mach Learn Res,2021,
Generating synthetic personal health data using conditional generative adversarial networks combining with differential privacy,Sun C,J Biomed Inform,2023,10.1016/j.jbi.2023.104404
Labeling Self-Tracked Menstrual Health Records With Hidden Semi-Markov Models,Symul L,IEEE J Biomed Health Inform,2022,10.1109/JBHI.2021.3110716
A synthetic data generation system for myalgic encephalomyelitis/chronic fatigue syndrome questionnaires,Lacasa M,Sci Rep,2023,10.1038/s41598-023-40364-6
Clinicians' Perspectives in Using Patient-Generated Health Data to Improve Ischemic Heart Disease Management,Alaboud K,AMIA Jt Summits Transl Sci Proc,2022,
Data Quality Assessment for Observational Medical Outcomes Partnership Common Data Model of Multi-Center,Oh SW,Stud Health Technol Inform,2023,10.3233/SHTI230127
Generating high-fidelity privacy-conscious synthetic patient data for causal effect estimation with multiple treatments,Shi J,Front Artif Intell,2022,10.3389/frai.2022.918813
A Learned Reconstruction Network for SPECT Imaging,Shao W,IEEE Trans Radiat Plasma Med Sci,2021,10.1109/trpms.2020.2994041
Characterization of Synthetic Health Data Using Rule-Based Artificial Intelligence Models,Lenatti M,IEEE J Biomed Health Inform,2023,10.1109/JBHI.2023.3236722
[Re-identification potential of structured health data],Drechsler J,Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,2024,10.1007/s00103-023-03820-2
Generating Enriched Synthetic German Hospital Claims Data - A Use Case Driven Approach,Helfer S,Stud Health Technol Inform,2021,10.3233/SHTI210051
The Detection of Date Shifting in Real-World Data,Evans L,Appl Clin Inform,2023,10.1055/a-2130-2197
Creating High-Quality Synthetic Health Data: Framework for Model Development and Validation,Karimian Sichani E,JMIR Form Res,2024,10.2196/53241
Synthetic Health Data Can Augment Community Research Efforts to Better Inform the Public During Emerging Pandemics,Prasanna A,medRxiv,2023,10.1101/2023.12.11.23298687
DataSifterText: Partially Synthetic Text Generation for Sensitive Clinical Notes,Zhou N,J Med Syst,2022,10.1007/s10916-022-01880-6
Generation of synthetic EEG data for training algorithms supporting the diagnosis of major depressive disorder,Carrle FP,Front Neurosci,2023,10.3389/fnins.2023.1219133
The Problem of Fairness in Synthetic Healthcare Data,Bhanot K,Entropy (Basel),2021,10.3390/e23091165
State of the art in clinical decision support applications in pediatric perioperative medicine,Wang E,Curr Opin Anaesthesiol,2020,10.1097/ACO.0000000000000850
The effect of missing levels of nesting in multilevel analysis,Park S,Genomics Inform,2022,10.5808/gi.22052
[Healthcare networks for people with rare diseases: integrating data and expertise],Graessner H,Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,2022,10.1007/s00103-022-03592-1
Synthea™ Novel coronavirus (COVID-19) model and synthetic data set,Walonoski J,Intell Based Med,2020,10.1016/j.ibmed.2020.100007
A public health nursing informatics data-and-practice quality project,Monsen KA,Comput Inform Nurs,2006,10.1097/00024665-200605000-00012
COMMUTE: Communication-efficient transfer learning for multi-site risk prediction,Gu T,J Biomed Inform,2023,10.1016/j.jbi.2022.104243
Data Management for Health Data Reuse: Proposal of a Standard Workflow and a R Tutorial with Jupyter Notebook,Lamer A,Stud Health Technol Inform,2022,10.3233/SHTI220912
Internet use and health: Connecting secondary data through spatial microsimulation,Deetjen U,Digit Health,2016,10.1177/2055207616666588
A comparison study on creating simulated patient data for individuals suffering from chronic coronary disorders,Koloi A,Annu Int Conf IEEE Eng Med Biol Soc,2023,10.1109/EMBC40787.2023.10340194
A comparison of synthetic data generation and federated analysis for enabling international evaluations of cardiovascular health,Azizi Z,Sci Rep,2023,10.1038/s41598-023-38457-3
A Review of Recent Advances in Translational Bioinformatics: Bridges from Biology to Medicine,Vamathevan J,Yearb Med Inform,2017,10.15265/IY-2017-017
What is infodemiology? An overview and its role in public health,Klimiuk KB,Przegl Epidemiol,2024,10.32394/pe/188119
Detecting anomalous sequences in electronic health records using higher-order tensor networks,Niu H,J Biomed Inform,2022,10.1016/j.jbi.2022.104219
Increasing African genomic data generation and sharing to resolve rare and undiagnosed diseases in Africa: a call-to-action by the H3Africa rare diseases working group,Lumaka A,Orphanet J Rare Dis,2022,10.1186/s13023-022-02391-w
NextGen Public Health Surveillance and the Internet of Things (IoT),Sahu KS,Front Public Health,2021,10.3389/fpubh.2021.756675
Generating Synthetic Electronic Health Record Data Using Generative Adversarial Networks: Tutorial,Yan C,JMIR AI,2024,10.2196/52615
Artificial Intelligence-Based Framework for Analyzing Health Care Staff Security Practice: Mapping Review and Simulation Study,Yeng PK,JMIR Med Inform,2021,10.2196/19250
Two Directions for Clinical Data Generation with Large Language Models: Data-to-Label and Label-to-Data,Li R,Proc Conf Empir Methods Nat Lang Process,2023,10.18653/v1/2023.findings-emnlp.474
Synthetic microbleeds generation for classifier training without ground truth,Momeni S,Comput Methods Programs Biomed,2021,10.1016/j.cmpb.2021.106127
Synthetic data in cancer and cerebrovascular disease research: A novel approach to big data,Lun R,PLoS One,2024,10.1371/journal.pone.0295921
Big Data Solutions for Controversies in Breast Cancer Treatment,Cobb AN,Clin Breast Cancer,2021,10.1016/j.clbc.2020.08.003
Direction of dependence analysis for pre-post assessments using non-Gaussian methods: a tutorial,Rosenström TH,Psychother Res,2023,10.1080/10503307.2023.2167526
Pitfalls in Analyzing FHIR Data from Different University Hospitals,Löbe M,Stud Health Technol Inform,2023,10.3233/SHTI230706
Large language models to identify social determinants of health in electronic health records,Guevara M,NPJ Digit Med,2024,10.1038/s41746-023-00970-0
Identifying Obviously Artificial Medical Images Produced by a Generative Adversarial Network,O'Reilly JA,Annu Int Conf IEEE Eng Med Biol Soc,2022,10.1109/EMBC48229.2022.9871217
Learning the progression patterns of treatments using a probabilistic generative model,Zaballa O,J Biomed Inform,2023,10.1016/j.jbi.2022.104271
Personalized Recommendations for Physical Activity e-Coaching (OntoRecoModel): Ontological Modeling,Chatterjee A,JMIR Med Inform,2022,10.2196/33847
Artificial intelligence: A rapid case for advancement in the personalization of Gynaecology/Obstetric and Mental Health care,Delanerolle G,Womens Health (Lond),2021,10.1177/17455065211018111
Individual and contextual level enablers and barriers determining electronic community health information system implementation in northwest Ethiopia,Hailemariam T,BMC Health Serv Res,2023,10.1186/s12913-023-09629-8
Electronic Health Records and Genomics: Perspectives from the Association for Molecular Pathology Electronic Health Record (EHR) Interoperability for Clinical Genomics Data Working Group,Carter AB,J Mol Diagn,2022,10.1016/j.jmoldx.2021.09.009
Detection of overdose and underdose prescriptions-An unsupervised machine learning approach,Nagata K,PLoS One,2021,10.1371/journal.pone.0260315
Quantifying Electronic Health Record Data: A Potential Risk for Cognitive Overload,Gal DB,Hosp Pediatr,2021,10.1542/hpeds.2020-002402
De-identifying Spanish medical texts - named entity recognition applied to radiology reports,Pérez-Díez I,J Biomed Semantics,2021,10.1186/s13326-021-00236-2
Simulating Study Data to Support Expected Value of Sample Information Calculations: A Tutorial,Heath A,Med Decis Making,2022,10.1177/0272989X211026292
Clinical decision support for chemotherapy-induced neutropenia using a hybrid pharmacodynamic/machine learning model,Hughes JH,CPT Pharmacometrics Syst Pharmacol,2023,10.1002/psp4.13019
Evaluating Identity Disclosure Risk in Fully Synthetic Health Data: Model Development and Validation,El Emam K,J Med Internet Res,2020,10.2196/23139
"Pseudo-data generation for the extraction of Problems, Treatments and Tests",Smith J,AMIA Jt Summits Transl Sci Proc,2021,
Identifying and handling data bias within primary healthcare data using synthetic data generators,Draghi B,Heliyon,2024,10.1016/j.heliyon.2024.e24164
Linking Data for Mothers and Babies in De-Identified Electronic Health Data,Harron K,PLoS One,2016,10.1371/journal.pone.0164667
Desiderata for a Synthetic Clinical Data Generator,Wiedekopf J,Stud Health Technol Inform,2021,10.3233/SHTI210122
A novel method to create realistic synthetic medication data,Hodges R,JAMIA Open,2023,10.1093/jamiaopen/ooad052
"Odisha tribal family health survey: methods, tools, and protocols for a comprehensive health assessment survey",Kshatri JS,Front Public Health,2023,10.3389/fpubh.2023.1157241
Using an optimized generative model to infer the progression of complications in type 2 diabetes patients,Wang X,BMC Med Inform Decis Mak,2022,10.1186/s12911-022-01915-5
Introduction to statistical simulations in health research,Boulesteix AL,BMJ Open,2020,10.1136/bmjopen-2020-039921
ECG Synthesis via Diffusion-Based State Space Augmented Transformer,Zama MH,Sensors (Basel),2023,10.3390/s23198328
"Health record hiccups-5,526 real-world time series with change points labelled by crowdsourced visual inspection",Quan TP,Gigascience,2022,10.1093/gigascience/giad060
Imputation and missing indicators for handling missing data in the development and deployment of clinical prediction models: A simulation study,Sisk R,Stat Methods Med Res,2023,10.1177/09622802231165001
Data Sharing in Biomedical Sciences: A Systematic Review of Incentives,Devriendt T,Biopreserv Biobank,2021,10.1089/bio.2020.0037
Cardiac aging synthesis from cross-sectional data with conditional generative adversarial networks,Campello VM,Front Cardiovasc Med,2022,10.3389/fcvm.2022.983091
CADUCEO: A Platform to Support Federated Healthcare Facilities through Artificial Intelligence,Menegatti D,Healthcare (Basel),2023,10.3390/healthcare11152199
DataSifter II: Partially synthetic data sharing of sensitive information containing time-varying correlated observations,Zhou N,J Algorithm Comput Technol,2022,10.1177/17483026211065379
Generating sequential electronic health records using dual adversarial autoencoder,Lee D,J Am Med Inform Assoc,2020,10.1093/jamia/ocaa119
An evaluation of the replicability of analyses using synthetic health data,El Emam K,Sci Rep,2024,10.1038/s41598-024-57207-7
Construction of Genealogical Knowledge Graphs From Obituaries: Multitask Neural Network Extraction System,He K,J Med Internet Res,2021,10.2196/25670
Keeping synthetic patients on track: feedback mechanisms to mitigate performance drift in longitudinal health data simulation,Zhang Z,J Am Med Inform Assoc,2022,10.1093/jamia/ocac131
Optimizing the synthesis of clinical trial data using sequential trees,Emam KE,J Am Med Inform Assoc,2021,10.1093/jamia/ocaa249
Estimating lifetime medical costs from censored claims data,Hwang JS,Health Econ,2017,10.1002/hec.3512
Privacy preserving Generative Adversarial Networks to model Electronic Health Records,Venugopal R,Neural Netw,2022,10.1016/j.neunet.2022.06.022
From heterogeneous healthcare data to disease-specific biomarker networks: A hierarchical Bayesian network approach,Becker AK,PLoS Comput Biol,2021,10.1371/journal.pcbi.1008735
Design and validation of a data simulation model for longitudinal healthcare data,Murray RE,AMIA Annu Symp Proc,2011,
Reduction of SPECT acquisition time using deep learning: A phantom study,Pribanić I,Phys Med,2023,10.1016/j.ejmp.2023.102615
SynTEG: a framework for temporal structured electronic health data simulation,Zhang Z,J Am Med Inform Assoc,2021,10.1093/jamia/ocaa262
Patient asynchrony modelling during controlled mechanical ventilation therapy,Arunachalam GR,Comput Methods Programs Biomed,2020,10.1016/j.cmpb.2019.105103
Synthesize Extremely High-dimensional Longitudinal Electronic Health Records via Hierarchical Autoregressive Language Model,Theodorou B,Res Sq,2023,10.21203/rs.3.rs-2644725/v1
Anonymization Through Data Synthesis Using Generative Adversarial Networks (ADS-GAN),Yoon J,IEEE J Biomed Health Inform,2020,10.1109/JBHI.2020.2980262
Cross-validation approaches for penalized Cox regression,Dai B,Stat Methods Med Res,2024,10.1177/09622802241233770
Fold-stratified cross-validation for unbiased and privacy-preserving federated learning,Bey R,J Am Med Inform Assoc,2020,10.1093/jamia/ocaa096
Estimating determinants of healthcare establishment locations with restricted federal administrative data,Van Sandt A,Health Econ,2021,10.1002/hec.4242
Diffusion-based conditional ECG generation with structured state space models,Alcaraz JML,Comput Biol Med,2023,10.1016/j.compbiomed.2023.107115
Effect of imbalanced sampling and missing data on associations between gender norms and risk of adolescent HIV,Gupta R,EClinicalMedicine,2022,10.1016/j.eclinm.2022.101513
The Use of Synthetic Electronic Health Record Data and Deep Learning to Improve Timing of High-Risk Heart Failure Surgical Intervention by Predicting Proximity to Catastrophic Decompensation,Guo A,Front Digit Health,2020,10.3389/fdgth.2020.576945
Integrating multidimensional data for clustering analysis with applications to cancer patient data,Park S,J Am Stat Assoc,2021,10.1080/01621459.2020.1730853
An evaluation of synthetic data augmentation for mitigating covariate bias in health data,Juwara L,Patterns (N Y),2024,10.1016/j.patter.2024.100946
Penalized Poisson model for network meta-analysis of individual patient time-to-event data,Ollier E,Stat Med,2022,10.1002/sim.9240
Spot the difference: comparing results of analyses from real patient data and synthetic derivatives,Foraker RE,JAMIA Open,2020,10.1093/jamiaopen/ooaa060
Demonstrating an approach for evaluating synthetic geospatial and temporal epidemiologic data utility: results from analyzing >1.8 million SARS-CoV-2 tests in the United States National COVID Cohort Collaborative (N3C),Thomas JA,J Am Med Inform Assoc,2022,10.1093/jamia/ocac045
A flexible mixed-data model applied to claims data for post-market surveillance of prescription drug safety behavior,Butler H,Pharm Stat,2022,10.1002/pst.2213
A comparison of Bayesian spatial models for disease mapping,Best N,Stat Methods Med Res,2005,10.1191/0962280205sm388oa
Synthesizing electronic health records using improved generative adversarial networks,Baowaly MK,J Am Med Inform Assoc,2019,10.1093/jamia/ocy142
Exploring the utility of synthetic data to extract more value from sensitive health data assets: A focused example in perinatal epidemiology,Braddon AE,Paediatr Perinat Epidemiol,2023,10.1111/ppe.12942
The challenge of detecting genotype-by-methylation interaction: GAW20,de Andrade M,BMC Genet,2018,10.1186/s12863-018-0650-7
The National COVID Cohort Collaborative: Analyses of Original and Computationally Derived Electronic Health Record Data,Foraker R,J Med Internet Res,2021,10.2196/30697
Estimating parameters for probabilistic linkage of privacy-preserved datasets,Brown AP,BMC Med Res Methodol,2017,10.1186/s12874-017-0370-0
National influenza surveillance systems in five European countries: a qualitative comparative framework based on WHO guidance,de Fougerolles TR,BMC Public Health,2022,10.1186/s12889-022-13433-0
Bayesian Multi-View Clustering given complex inter-view structure,Shapiro BD,F1000Res,2024,10.12688/f1000research.126215.2
Modelling NHS England 111 demand for primary care services: a discrete event simulation,Pilbery R,BMJ Open,2023,10.1136/bmjopen-2023-076203
Machine learning for comprehensive forecasting of Alzheimer's Disease progression,Fisher CK,Sci Rep,2019,10.1038/s41598-019-49656-2
An adaptive information-theoretic experimental design procedure for high-to-low fidelity calibration of prostate cancer models,Cho H,Math Biosci Eng,2023,10.3934/mbe.2023799
Novel phenotype-disease matching tool for rare genetic diseases,Chen J,Genet Med,2019,10.1038/s41436-018-0050-4
Hybrid Deep Learning Approach for Accurate Tumor Detection in Medical Imaging Data,Cifci MA,Diagnostics (Basel),2023,10.3390/diagnostics13061025
A Simulation Framework for Modeling the Within-Patient Evolutionary Dynamics of SARS-CoV-2,Terbot JW 2nd,Genome Biol Evol,2023,10.1093/gbe/evad204
A two-step deep learning method for 3DCT-2DUS kidney registration during breathing,Chi Y,Sci Rep,2023,10.1038/s41598-023-40133-5
Harnessing the heart of big data,Scruggs SB,Circ Res,2015,10.1161/CIRCRESAHA.115.306013
Sensitivity of estimated tacrolimus population pharmacokinetic profile to assumed dose timing and absorption in real-world data and simulated data,Williams ML,Br J Clin Pharmacol,2022,10.1111/bcp.15218
DETECT: Feature extraction method for disease trajectory modeling in electronic health records,Singhal P,AMIA Jt Summits Transl Sci Proc,2023,
Measuring and Promoting SARS-CoV-2 Vaccine Equity: Development of a COVID-19 Vaccine Equity Index,Pressman AR,Health Equity,2021,10.1089/heq.2021.0047
Analyzing Medical Research Results Based on Synthetic Data and Their Relation to Real Data Results: Systematic Comparison From Five Observational Studies,Reiner Benaim A,JMIR Med Inform,2020,10.2196/16492
CACONET: a novel classification framework for microbial correlation networks,Xu Y,Bioinformatics,2022,10.1093/bioinformatics/btab879
A simulation framework for modeling the within-patient evolutionary dynamics of SARS-CoV-2,Terbot JW 2nd,bioRxiv,2023,10.1101/2023.07.13.548462
"Attitudes and perceptions of teachers toward mental health literacy: A case of Odzi High School, Mutare District, Zimbabwe",Sibanda T,Front Psychol,2022,10.3389/fpsyg.2022.1003115
Interdisciplinary Teams in Health Informatics: Using FHIR Standards to Share Computable Knowledge,Andrikopoulou E,Stud Health Technol Inform,2023,10.3233/SHTI230201
Establishing a Data Quality Baseline in the AKTIN Emergency Department Data Registry - A Secondary Use Perspective,Triefenbach L,Stud Health Technol Inform,2022,10.3233/SHTI220439
The Architecture of a Feasibility Query Portal for Distributed COVID-19 Fast Healthcare Interoperability Resources (FHIR) Patient Data Repositories: Design and Implementation Study,Gruendner J,JMIR Med Inform,2022,10.2196/36709
Series: Pragmatic trials and real world evidence: Paper 8. Data collection and management,Meinecke AK,J Clin Epidemiol,2017,10.1016/j.jclinepi.2017.07.003
Using Synthetic Data to Replace Linkage Derived Elements: A Case Study,Resnick DM,Health Serv Outcomes Res Methodol,2021,10.1007/s10742-021-00241-z
A cautionary note on the use of G-computation in population adjustment,Vo TT,Res Synth Methods,2023,10.1002/jrsm.1621
Evaluating bias due to data linkage error in electronic healthcare records,Harron K,BMC Med Res Methodol,2014,10.1186/1471-2288-14-36
Health Data Entanglement and artificial intelligence-based analysis: a brand new methodology to improve the effectiveness of healthcare services,Capone A,Clin Ter,2016,10.7417/CT.2016.1952
Nonstationary multivariate Gaussian processes for electronic health records,Meng R,J Biomed Inform,2021,10.1016/j.jbi.2021.103698
"Novel Generative Recurrent Neural Network Framework to Produce Accurate, Applicable, and Deidentified Synthetic Medical Data for Patients With Metastatic Cancer",Ganguli R,JCO Clin Cancer Inform,2023,10.1200/CCI.22.00125
Image reconstruction using UNET-transformer network for fast and low-dose PET scans,Kaviani S,Comput Med Imaging Graph,2023,10.1016/j.compmedimag.2023.102315
Healthcare professionals' perspectives on identifying and managing perinatal anxiety: a qualitative study,Silverwood V,Br J Gen Pract,2019,10.3399/bjgp19X706025
Digital Medical Device Companion (MyIUS) for New Users of Intrauterine Systems: App Development Study,Karakoyun T,JMIR Med Inform,2021,10.2196/24633
"Isabl Platform, a digital biobank for processing multimodal patient data",Medina-Martínez JS,BMC Bioinformatics,2020,10.1186/s12859-020-03879-7
The potential of convolutional neural networks for identifying neural states based on electrophysiological signals: experiments on synthetic and real patient data,Rodriguez F,Front Hum Neurosci,2023,10.3389/fnhum.2023.1134599
Voxelwise statistical methods to localize practice variation in brain tumor surgery,Eijgelaar R,PLoS One,2019,10.1371/journal.pone.0222939
Monte Carlo decision curve analysis using aggregate data,Hozo I,Eur J Clin Invest,2017,10.1111/eci.12723
AI and semantic ontology for personalized activity eCoaching in healthy lifestyle recommendations: a meta-heuristic approach,Chatterjee A,BMC Med Inform Decis Mak,2023,10.1186/s12911-023-02364-4
Generation of annotated multimodal ground truth datasets for abdominal medical image registration,Bauer DF,Int J Comput Assist Radiol Surg,2021,10.1007/s11548-021-02372-7
Can I trust my fake data - A comprehensive quality assessment framework for synthetic tabular data in healthcare,Vallevik VB,Int J Med Inform,2024,10.1016/j.ijmedinf.2024.105413
Trends in Use and Perceptions About Triplet Chemotherapy Plus Bevacizumab for Metastatic Colorectal Cancer,van Nassau SC,JAMA Netw Open,2021,10.1001/jamanetworkopen.2021.24766
Pathway Lasso: Pathway Estimation and Selection with High-Dimensional Mediators,Zhao Y,Stat Interface,2022,10.4310/21-sii673
A Generative Adversarial Network (GAN) Technique for Internet of Medical Things Data,Vaccari I,Sensors (Basel),2021,10.3390/s21113726
Deep learning for cranioplasty in clinical practice: Going from synthetic to real patient data,Kodym O,Comput Biol Med,2021,10.1016/j.compbiomed.2021.104766
"Healthcare for migrants, participatory health research and implementation science--better health policy and practice through inclusion. The RESTORE project",MacFarlane A,Eur J Gen Pract,2014,10.3109/13814788.2013.868432
Generation of a Realistic Synthetic Laryngeal Cancer Cohort for AI Applications,Katalinic M,Cancers (Basel),2024,10.3390/cancers16030639
A non-linear regression method for estimation of gene-environment heritability,Kerin M,Bioinformatics,2021,10.1093/bioinformatics/btaa1079
Postprediction Inference for Clinical Characteristics Extracted With Machine Learning on Electronic Health Records,Sondhi A,JCO Clin Cancer Inform,2023,10.1200/CCI.22.00174
Development of a Synthetic Population Model for Assessing Excess Risk for Cardiovascular Disease Death,Krauland MG,JAMA Netw Open,2020,10.1001/jamanetworkopen.2020.15047
Hypersphere clustering to characterize healthcare providers using prescriptions and procedures from Medicare claims data,Fillmore N,AMIA Annu Symp Proc,2020,
Informative missingness in electronic health record systems: the curse of knowing,Groenwold RHH,Diagn Progn Res,2020,10.1186/s41512-020-00077-0
