Title,First Author,Journal,Publication Year,DOI
Data-driven electrical conductivity brain imaging using 3 T MRI,"Jung, Kyu-Jin (57192907979); Mandija, Stefano (56780311000); Cui, Chuanjiang (57223339906); Kim, Jun-Hyeong (57203246372); Al-masni, Mohammed A. (57192575678); Meerbothe, Thierry G. (57824182300); Park, Mina (56819545100); van den Berg, Cornelis A. T. (7101982453); Kim, Dong-Hyun (57756135500)",Human Brain Mapping,2023,10.1002/hbm.26421
Estimating lifetime medical costs from censored claims data,"Hwang, Jing-Shiang (7403897482); Hu, Tsuey-Hwa (7202704662); Lee, Lukas Jyuhn-Hsiarn (26644879400); Wang, Jung-Der (8051265800)",Health Economics (United Kingdom),2017,10.1002/hec.3512
Estimating determinants of healthcare establishment locations with restricted federal administrative data,"Van Sandt, Anders (57192004706); Carpenter, Craig Wesley (57201194370); Dudensing, Rebekka (36623510400); Loveridge, Scott (6602644342)",Health Economics (United Kingdom),2021,10.1002/hec.4242
Developing an ML pipeline for asthma and COPD: The case of a Dutch primary care service,"Mariani, Stefano (14421332900); Metting, Esther (56721308600); Lahr, Maarten M. H. (36446032300); Vargiu, Eloisa (55885459400); Zambonelli, Franco (7006289226)",International Journal of Intelligent Systems,2021,10.1002/int.22568
Validity of Attention Bias Variability Indices for Posttraumatic Stress Disorder Research: Evidence From Patient Data,"Alon, Yaron (57204767163); Naim, Reut (47161353100); Pine, Daniel S. (7102750324); Bliese, Paul D. (35263862800); Bar-Haim, Yair (6602090149)",Journal of Traumatic Stress,2019,10.1002/jts.22443
Simplifying volumes-of-interest (VOIs) definition in quantitative SPECT: Beyond manual definition of 3D whole-organ VOIs,"Vicente, Esther M. (22952401600); Lodge, Martin A. (7005049382); Rowe, Steven P. (56112456800); Wahl, Richard L. (36043691500); Frey, Eric C. (7103012762)",Medical Physics,2017,10.1002/MP.12164
High-fidelity fast volumetric brain MRI using synergistic wave-controlled aliasing in parallel imaging and a hybrid denoising generative adversarial network (HDnGAN),"Li, Ziyu (57212003399); Tian, Qiyuan (48862168000); Ngamsombat, Chanon (55635954300); Cartmell, Samuel (57119440200); Conklin, John (24079925200); Filho, Augusto Lio M. Gonçalves (57408478900); Lo, Wei-Ching (57219864511); Wang, Guangzhi (57194626987); Ying, Kui (7005162150); Setsompop, Kawin (15053610500); Fan, Qiuyun (56927493300); Bilgic, Berkin (36469704300); Cauley, Stephen (15759105700); Huang, Susie Y. (7405421635)",Medical Physics,2022,10.1002/mp.15427
Deep learning-based markerless lung tumor tracking in stereotactic radiotherapy using Siamese networks,"Grama, Dragos (58672905300); Dahele, Max (18436797700); van Rooij, Ward (57208401740); Slotman, Ben (35451427300); Gupta, Deepak K. (55737051100); Verbakel, Wilko F.A.R. (6603488694)",Medical Physics,2023,10.1002/mp.16470
Relaxivity-iron calibration in hepatic iron overload: Predictions of a Monte Carlo model,"Ghugre, Nilesh R. (7801567414); Doyle, Eamon K. (56785333600); Storey, Pippa (7005203239); Wood, John C. (55371399600)",Magnetic Resonance in Medicine,2015,10.1002/mrm.25459
SPINNED: Simulation-based physics-informed neural network for deconvolution of dynamic susceptibility contrast MRI perfusion data,"Asaduddin, Muhammad (57209009893); Kim, Eung Yeop (24471039500); Park, Sung-Hong (16686626100)",Magnetic Resonance in Medicine,2024,10.1002/mrm.30095
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,"Hao, Jie (57215026752); Zou, Xin (56253955300); Wilson, Martin P. (57196691806); Davies, Nigel P. (35232883900); Sun, Yu (57206700640); Peet, Andrew C. (6601966879); Arvanitis, Theodoros N. (6701910707)",NMR in Biomedicine,2009,10.1002/nbm.1393
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,"Benasseur, Imane (57401805400); Talbot, Denis (7102178100); Durand, Madeleine (54079686700); Holbrook, Anne (7006796261); Matteau, Alexis (16241772000); Potter, Brian J. (8554576200); Renoux, Christel (16643840100); Schnitzer, Mireille E. (37034990300); Tarride, Jean-Éric (10143478600); Guertin, Jason R. (36970502400)",Pharmacoepidemiology and Drug Safety,2022,10.1002/pds.5403
Clinical decision support for chemotherapy-induced neutropenia using a hybrid pharmacodynamic/machine learning model,"Hughes, Jasmine H. (57659069900); Tong, Dominic M. H. (57211437673); Burns, Vanessa (58314565000); Daly, Bobby (56481208900); Razavi, Pedram (56566394500); Boelens, Jaap J. (56642523900); Goswami, Srijib (55255251100); Keizer, Ron J. (36724512800)",CPT: Pharmacometrics and Systems Pharmacology,2023,10.1002/psp4.13019
A flexible mixed-data model applied to claims data for post-market surveillance of prescription drug safety behavior,"Butler, Harris (57221324233); Rice, John D. (57218253054); Carlson, Nichole E. (8348677800); Morrato, Elaine H. (8518178400)",Pharmaceutical Statistics,2022,10.1002/pst.2213
Calibration plots for multistate risk predictions models,"Pate, Alexander (57190854376); Sperrin, Matthew (26535288300); Riley, Richard D. (7201915531); Peek, Niels (15840668400); Van Staa, Tjeerd (14014266800); Sergeant, Jamie C. (38562164200); Mamas, Mamas A. (6507283777); Lip, Gregory Y. H. (57216675273); O'Flaherty, Martin (6701635334); Barrowman, Michael (57210567856); Buchan, Iain (58718203600); Martin, Glen P. (57199301846)",Statistics in Medicine,2024,10.1002/sim.10094
Investigating heterogeneity in an individual patient data meta-analysis of time to event outcomes,"Tudur Smith, Catrin (8983034400); Williamson, Paula R. (57212501855); Marson, Anthony G. (7006387194)",Statistics in Medicine,2005,10.1002/sim.2050
A multiple imputation approach to disclosure limitation for high-age individuals in longitudinal studies,"An, Di (22133467600); Little, Roderick J. A. (7202638843); McNally, James W. (35830278400)",Statistics in Medicine,2010,10.1002/sim.3974
A linearization approach for the model-based analysis of combined aggregate and individual patient data,"Ravva, Patanjali (26030046600); Karlsson, Mats O. (57023018900); French, Jonathan L. (55796629771)",Statistics in Medicine,2014,10.1002/sim.6045
Robust analysis of stepped wedge trials using cluster-level summaries within periods,"Thompson, J.A. (56783334300); Davey, C. (55514938200); Fielding, K. (35493200400); Hargreaves, J.R. (7102195044); Hayes, R.J. (7402082478)",Statistics in Medicine,2018,10.1002/sim.7668
Penalized Poisson model for network meta-analysis of individual patient time-to-event data,"Ollier, Edouard (35784764100); Blanchard, Pierre (7101731357); Le Teuff, Gwénaël (11640458900); Michiels, Stefan (56036766600)",Statistics in Medicine,2022,10.1002/sim.9240
Flexible propensity score estimation strategies for clustered data in observational studies,"Chang, Ting-Hsuan (57222103819); Nguyen, Trang Quynh (56182502500); Lee, Youjin (57212375313); Jackson, John W. (55794628500); Stuart, Elizabeth A. (35410446500)",Statistics in Medicine,2022,10.1002/sim.9551
Ranking of average treatment effects with generalized random forests for time-to-event outcomes,"Rytgaard, Helene C. W. (57004822800); Ekstrøm, Claus T. (7006289211); Kessing, Lars V. (7005173096); Gerds, Thomas A. (6602297750)",Statistics in Medicine,2023,10.1002/sim.9686
Challenges and opportunities beyond structured data in analysis of electronic health records,"Tayefi, Maryam (57188813741); Ngo, Phuong (57203190910); Chomutare, Taridzo (52363191200); Dalianis, Hercules (6506899838); Salvi, Elisa (57194683626); Budrionis, Andrius (55735006700); Godtliebsen, Fred (55974798000)",Wiley Interdisciplinary Reviews: Computational Statistics,2021,10.1002/wics.1549
Characterizing multi-omic data in systems biology,"Mason, Christopher E. (7202125538); Porter, Sandra G. (16029332600); Smith, Todd M. (57212258053)",Advances in Experimental Medicine and Biology,2014,10.1007/978-1-4614-8778-4_2
Healthcare and anomaly detection: using machine learning to predict anomalies in heart rate data,"Šabić, Edin (57189363794); Keeley, David (57521809900); Henderson, Bailey (57216693637); Nannemann, Sara (57216695075)",AI and Society,2021,10.1007/s00146-020-00985-1
On Left Ventricle Stroke Work Efficiency in Children with Moderate Aortic Valve Regurgitation or Moderate Aortic Valve Stenosis,"Asaadi, M. (57501747100); Mawad, W. (23767638800); Djebbari, A. (36447520300); Keshavardz-Motamed, Z. (57226779604); Dahdah, N. (6603701805); Kadem, L. (55375549700)",Pediatric Cardiology,2022,10.1007/s00246-021-02690-2
An Intelligent Healthcare Cyber Physical Framework for Encephalitis Diagnosis Based on Information Fusion and Soft-Computing Techniques,"Gupta, Aditya (57214417432); Singh, Amritpal (58263108000)",New Generation Computing,2022,10.1007/s00354-022-00175-1
Big data simulations for capacity improvement in a general ophthalmology clinic,"Kern, Christoph (57189385073); König, André (57221290548); Fu, Dun Jack (57209181179); Schworm, Benedikt (57211139128); Wolf, Armin (25959444800); Priglinger, Siegfried (7003656506); Kortuem, Karsten U. (6507723181)",Graefe's Archive for Clinical and Experimental Ophthalmology,2021,10.1007/s00417-020-05040-9
Estimation of pancreatic R2* for iron overload assessment in the presence of fat: a comparison of different approaches,"Santarelli, Maria Filomena (7006438702); Meloni, Antonella (57201344472); De Marchi, Daniele (12787103400); Pistoia, Laura (6507059185); Quarta, Antonella (35332649400); Spasiano, Anna (24503638900); Landini, Luigi (25422522900); Pepe, Alessia (22980876200); Positano, Vincenzo (6603931628)","Magnetic Resonance Materials in Physics, Biology and Medicine",2018,10.1007/s10334-018-0695-7
Patient-Specific Biomechanical Modeling for Guidance During Minimally-Invasive Hepatic Surgery,"Plantefève, Rosalie (56352470800); Peterlik, Igor (19640217000); Haouchine, Nazim (36666394100); Cotin, Stéphane (6701381230)",Annals of Biomedical Engineering,2016,10.1007/s10439-015-1419-z
Revolutionizing personalized medicine with generative AI: a systematic review,"Ghebrehiwet, Isaias (58875798000); Zaki, Nazar (16044448200); Damseh, Rafat (57190846827); Mohamad, Mohd Saberi (24724973200)",Artificial Intelligence Review,2024,10.1007/s10462-024-10768-5
Using synthetic data to replace linkage derived elements: a case study,"Resnick, Dean M. (57219113109); Cox, Christine S. (57199199238); Mirel, Lisa B. (6506957958)",Health Services and Outcomes Research Methodology,2021,10.1007/s10742-021-00241-z
DataSifterText: Partially Synthetic Text Generation for Sensitive Clinical Notes,"Zhou, Nina (57203751868); Wu, Qiucheng (57204852994); Wu, Zewen (57966579500); Marino, Simeone (8786377400); Dinov, Ivo D. (6603200380)",Journal of Medical Systems,2022,10.1007/s10916-022-01880-6
Robust Grouped Variable Selection Using Distributionally Robust Optimization,"Chen, Ruidi (57200503698); Paschalidis, Ioannis Ch. (6701781472)",Journal of Optimization Theory and Applications,2022,10.1007/s10957-022-02065-4
Imputation of clinical covariates in time series,"Bertsimas, Dimitris (7005282772); Orfanoudaki, Agni (57216889389); Pawlowski, Colin (57218860259)",Machine Learning,2021,10.1007/s10994-020-05923-2
Differentially Private Recurrent Variational Autoencoder For Text Privacy Preservation,"Wang, Yuyang (58295275800); Meng, Xianjia (56237705700); Liu, Ximeng (55755272500)",Mobile Networks and Applications,2023,10.1007/s11036-023-02096-9
Comparing and assessing the consequences of two different approaches to measuring school effectiveness,"Guarino, Cassandra M. (14012969600); Stacy, Brian W. (56485524500); Wooldridge, Jeffrey M. (7005740338)","Educational Assessment, Evaluation and Accountability",2019,10.1007/s11092-019-09308-5
An intelligent system for predicting and preventing MERS-CoV infection outbreak,"Sandhu, Rajinder (56435630700); Sood, Sandeep K. (35173770300); Kaur, Gurpreet (57226331099)",Journal of Supercomputing,2016,10.1007/s11227-015-1474-0
GAAE: a novel genetic algorithm based on autoencoder with ensemble classifiers for imbalanced healthcare data,"Ram, Pintu Kumar (57220025266); Kuila, Pratyay (55180119400)",Journal of Supercomputing,2023,10.1007/s11227-022-04679-x
Online model checking for monitoring surrogate-based respiratory motion tracking in radiation therapy,"Antoni, Sven-Thomas (56541521600); Rinast, Jonas (55366282300); Ma, Xintao (56313882100); Schupp, Sibylle (55976288900); Schlaefer, Alexander (12784041700)",International Journal of Computer Assisted Radiology and Surgery,2016,10.1007/s11548-016-1423-2
Generation of annotated multimodal ground truth datasets for abdominal medical image registration,"Bauer, Dominik F. (57211344158); Russ, Tom (57208476418); Waldkirch, Barbara I. (57209854406); Tönnes, Christian (57189690558); Segars, William P. (35211893200); Schad, Lothar R. (57211739516); Zöllner, Frank G. (6603625932); Golla, Alena-Kathrin (57219657577)",International Journal of Computer Assisted Radiology and Surgery,2021,10.1007/s11548-021-02372-7
Shape completion in the dark: completing vertebrae morphology from 3D ultrasound,"Gafencu, Miruna-Alexandra (58490445200); Velikova, Yordanka (57212004167); Saleh, Mahdi (57209021287); Ungi, Tamas (8956745200); Navab, Nassir (7003458998); Wendler, Thomas (8546266900); Azampour, Mohammad Farid (57209340453)",International Journal of Computer Assisted Radiology and Surgery,2024,10.1007/s11548-024-03126-x
Reаl-time heаrt diseаse detection аnd monitoring system bаsed on fаst mаchine leаrning using Spаrk,"Ed-daoudy, Abderrahmane (57207360390); Maalmi, Khalil (7801502982)",Health and Technology,2020,10.1007/s12553-020-00460-3
Utility of GAN generated synthetic data for cardiovascular diseases mortality prediction: an experimental study,"Khan, Shahzad Ahmed (58991316600); Murtaza, Hajra (58991316700); Ahmed, Musharif (56547913500)",Health and Technology,2024,10.1007/s12553-024-00847-6
Anomaly Detection in Activities of Daily Living with Linear Drift,"Belmonte-Fernández, Óscar (6508109883); Caballer-Miedes, Antonio (7801312529); Chinellato, Eris (6508125939); Montoliu, Raúl (22734878800); Sansano-Sansano, Emilio (57201135498); García-Vidal, Rubén (57217534762)",Cognitive Computation,2020,10.1007/s12559-020-09740-6
Using a small dataset to classify strength-interactions with an elastic display: a case study for the screening of autism spectrum disorder,"Monarca, Ivonne (57190181959); Cibrian, Franceli L. (56341459600); Chavez, Edgar (7101817688); Tentori, Monica (56002718500)",International Journal of Machine Learning and Cybernetics,2023,10.1007/s13042-022-01554-2
Managing uncertainty in imputing missing symptom value for healthcare of rural India,"Das, Sayan (57213459752); Sil, Jaya (15066095900)",Health Information Science and Systems,2019,10.1007/s13755-019-0066-4
Evaluating performance of risk identification methods through a large-scale simulation of observational data,"Ryan, Patrick B. (36469223700); Schuemie, Martijn J. (35238890300)",Drug Safety,2013,10.1007/s40264-013-0110-2
Benefit–Risk Monitoring of Vaccines Using an Interactive Dashboard: A Methodological Proposal from the ADVANCE Project,"Bollaerts, Kaatje (15126894700); De Smedt, Tom (56320621000); Donegan, Katherine (57189067817); Titievsky, Lina (57204587652); Bauchau, Vincent (55982411600)",Drug Safety,2018,10.1007/s40264-018-0658-y
Generation of synthetic datasets using weighted bayesian association rules in clinical world,"Kharya, Shweta (57215539710); Soni, Sunita (24829775800); Swarnkar, Tripti (34881196300)",International Journal of Information Technology (Singapore),2022,10.1007/s41870-022-01081-x
Designing an Attribute-Based Encryption Scheme with an Enhanced Anonymity Model for Privacy Protection in E-Health,"Zala, Kirtirajsinh (58636504500); Thakkar, Hiren Kumar (57193791442); Dholakia, Neel (57865100600); Shukla, Madhu (56973555700); Thumar, Deep (58809035200)",SN Computer Science,2024,10.1007/s42979-023-02541-2
Improving Patient Flow in a Primary Care Clinic,"Preuss, Nathan (57880619100); Guo, Lin (57204757816); Allen, Janet K. (7406422762); Mistree, Farrokh (7005247880)",Operations Research Forum,2022,10.1007/s43069-022-00152-w
Planning and Intraoperative Visualization of Liver Catheterizations. New CTA Protocol and 2D-3D Registration Method,"Groher, Martin (22934349100); Jakobs, Tobias F. (6701452374); Padoy, Nicolas (24338962300); Navab, Nassir (7003458998)",Academic Radiology,2007,10.1016/j.acra.2007.07.009
Harmonizing Clinical Sequencing and Interpretation for the eMERGE III Network,"Zouk, Hana (57210802697); Venner, Eric (28168023200); Lennon, Niall J. (6602550356); Muzny, Donna M. (6603763638); Abrams, Debra (8942216800); Adunyah, Samuel (6701347337); Albertson-Junkans, Ladia (57210798123); Ames, Darren C. (24830063900); Appelbaum, Paul (7202547438); Aronson, Samuel (37064299800); Aufox, Sharon (56189389500); Babb, Lawrence J. (53871037400); Balasubramanian, Adithya (57538509100); Bangash, Hana (57210211496); Basford, Melissa (24604971800); Bastarache, Lisa (35387541500); Baxter, Samantha (35770270000); Behr, Meckenzie (56591948900); Benoit, Barbara (57204500241); Bhoj, Elizabeth (25031267100); Bielinski, Suzette J. (12142128900); Bland, Harris T (58475030700); Blout, Carrie (55990270400); Borthwick, Kenneth (56387430100); Bottinger, Erwin P. (57223660442); Bowser, Mark (56312474100); Brand, Harrison (56258941300); Brilliant, Murray (7005113362); Brodeur, Wendy (57194819427); Caraballo, Pedro (6507989342); Carrell, David (57202888482); Carroll, Andrew (7202435548); Almoguera, Berta (57205358097); Castillo, Lisa (37561269200); Castro, Victor (36239799100); Chandanavelli, Gauthami (57210800866); Chiang, Theodore (56450134000); Chisholm, Rex L. (57202732450); Christensen, Kurt D. (7202687824); Chung, Wendy (57211703344); Chute, Christopher G. (7006581202); City, Brittany (57210788003); Cobb, Beth L. (23049165700); Connolly, John J. (56591511700); Crane, Paul (57202041242); Crew, Katherine (6504159140); Crosslin, David (57207812155); De Andrade, Mariza (18334300400); De la Cruz, Jessica (57534446600); Denson, Shawn (57210795401); Denny, Josh (7005252620); DeSmet, Tim (55675551700); Dikilitas, Ozan (57210132518); Friedrich, Christopher (7202493486); Fullerton, Stephanie M. (7005413233); Funke, Birgit (7004114359); Gabriel, Stacey (7202104113); Gainer, Vivian (8245732300); Gharavi, Ali (7005583929); Glazer, Andrew M. (56147784600); Glessner, Joseph T. (17345446300); Goehringer, Jessica (57190854051); Gordon, Adam S. (55763729900); Graham, Chet (57204304978); Green, Robert C. (57215342824); Gundelach, Justin H. (55175810500); Dayal, Jyoti (57191573526); Hain, Heather S. (6701338427); Hakonarson, Hakon (55531171800); Harden, Maegan V. (57069005500); Harley, John (7201902945); Harr, Margaret (56149657000); Hartzler, Andrea (39061612500); Hayes, M. Geoffrey (8776548900); Hebbring, Scott (6506694846); Henrikson, Nora (9043104900); Hershey, Andrew (26643428800); Hoell, Christin (57217030068); Holm, Ingrid (57202570147); Howell, Kayla M. (57204126325); Hripcsak, George (7004471151); Hu, Jianhong (58533706700); Jarvik, Gail P. (57216998065); Jayaseelan, Joy C. (54983294900); Jiang, Yunyun (57201730437); Joo, Yoonjung Yoonie (57204126093); Jose, Sheethal (56651922100); Josyula, Navya Shilpa (57201270497); Justice, Anne E. (55637906400); Kalla, Sara E. (57076160400); Kalra, Divya (56107739200); Karlson, Elizabeth (57204274676); Kelly, Melissa A. (56532978800); Keating, Brendan J. (7007012503); Kenny, Eimear E. (57202315133); Key, Dustin (56668563900); Kiryluk, Krzysztof (57202435533); Kitchner, Terrie (22980601200); Klanderman, Barbara (15725486700); Klee, Eric (16022162600); Kochan, David C. (57200366571); Korchina, Viktoriya (56431045800); Kottyan, Leah (35107524200); Kovar, Christie (15048178200); Kudalkar, Emily (56901445400); Kullo, Iftikhar J. (6701817256); Lammers, Philip (55920083400); Larson, Eric B. (7202762073); Lebo, Matthew S. (55628496800); Leduc, Magalie (37034237000); Lee, Ming Ta (Michael) (58603143100); Leppig, Kathleen A. (6701769567); Leslie, Nancy D. (7006707754); Li, Rongling (55491283700); Liang, Wayne H. (57204194099); Lin, Chiao-Feng (57202447757); Linder, Jodell (55450085700); Lindor, Noralane M. (7006650995); Lingren, Todd (55544738700); Linneman, James G. (15832154200); Liu, Cong (57212921616); Liu, Wen (57198617154); Liu, Xiuping (57205290165); Lynch, John (55724262800); Lyon, Hayley (57188639503); Macbeth, Alyssa (56197596100); Mahadeshwar, Harshad (57195074302); Mahanta, Lisa (56312540700); Malin, Brad (6602093073); Manolio, Teri (57024709400); Marasa, Maddalena (16550104400); Marsolo, Keith (55651609600); Dinsmore, Michael J. (58978589700); Dodge, Sheila (6603718123); Hynes, Elizabeth Duffy (56550801100); Dunlea, Phil (57210793351); Edwards, Todd L. (57195376284); Eng, Christine M. (7201540406); Fasel, David (56406302300); Fedotov, Alex (57200366224); Feng, Qiping (24166161500); Fleharty, Mark (6506041062); Foster, Andrea (57201561293); Freimuth, Robert (6603368370); McGowan, Michelle L. (24723208600); McNally, Elizabeth (7007073463); Meldrim, Jim (16310270000); Mentch, Frank (57203904942); Mosley, Jonathan (55616866600); Mukherjee, Shubhabrata (42861930800); Mullen, Thomas E. (57200928073); Muniz, Jesse (57210803156); Murdock, David R. (43861509000); Murphy, Shawn (7402778470); Murugan, Mullai (57201728158); Myers, Melanie F. (7402143162); Namjou, Bahram (6603271962); Ni, Yizhao (56029964100); Obeng, Aniwaa Owusu (57202034501); Onofrio, Robert C. (8262171200); Taylor, Casey Overby (35090434700); Person, Thomas N. (55779403300); Peterson, Josh F. (7403425761); Petukhova, Lynn (15835467400); Pisieczko, Cassandra J. (57210801597); Pratap, Siddharth (7004661244); Prows, Cynthia A. (6603739040); Puckelwartz, Megan J. (26024452100); Rahm, Alanna Kulchak (6701588971); Raj, Ritika (57210792211); Ralston, James D. (7102501680); Ramaprasan, Arvind (56658756300); Ramirez, Andrea (36017516700); Rasmussen, Luke (15825466200); Rasmussen-Torvik, Laura (12141790400); Rasouly, Hila Milo (55322036800); Raychaudhuri, Soumya (7006375923); Ritchie, Marylyn D. (7102927061); Rives, Catherine (6603234765); Riza, Beenish (57210796992); Roden, Dan (7102884634); Rosenthal, Elisabeth A. (7102028311); Santani, Avni (6507529708); Schaid, Dan (7006237594); Scherer, Steven (56324405900); Scott, Stuart (15822794200); Scrol, Aaron (56705506600); Sengupta, Soumitra (7402546786); Shang, Ning (56293164100); Sharma, Himanshu (57192198447); Sharp, Richard R. (7201356544); Singh, Rajbir (57216086075); Sleiman, Patrick M.A. (25229302500); Slowik, Kara (57210946237); Smith, Joshua C. (56743718400); Smith, Maureen E. (55495913300); Smoller, Jordan W. (7006674071); Sohn, Sunghwan (7101646425); Stanaway, Ian B. (14029002300); Starren, Justin (6603888860); Stroud, Mary (7005587785); Su, Jessica (13610056800); Tolwinski, Kasia (57207684276); Van Driest, Sara L. (56118006200); Vargas, Sean M. (57205399887); Varugheese, Matthew (53872119700); Veenstra, David (7004376383); Verbitsky, Miguel (7004282962); Vicente, Gina (57201979956); Wagner, Michael (57200105179); Walker, Kimberly (56425020900); Walunas, Theresa (6603015849); Wang, Liwen (58945989600); Wang, Qiaoyan (8305242000); Wei, Wei-Qi (57212895740); Weiss, Scott T. (36040917900); Wiesner, Georgia L. (7006373826); Wells, Quinn (24483827900); Weng, Chunhua (8979750700); White, Peter S. (57210850334); Wiley, Ken L. (55371888400); Williams, Janet L. (55499914100); Williams, Marc S. (57203332674); Wilson, Michael W. (57202530126); Witkowski, Leora (55875043500); Woods, Laura Allison (57210795119); Woolf, Betty (57197557271); Wu, Tsung-Jung (56095079000); Wynn, Julia (36922664300); Yang, Yaping (57203688538); Yi, Victoria (57210788440); Zhang, Ge (7405273341); Zhang, Lan (57196125546); Rehm, Heidi L. (57195311049); Gibbs, Richard A. (7202068919)",American Journal of Human Genetics,2019,10.1016/j.ajhg.2019.07.018
Theoretical and experimental determination of dosimetric characteristics for ADVANTAGE™ Pd-103 brachytherapy source,"Meigooni, Ali S. (13805785800); Dini, Sharifeh A. (7006384779); Awan, Shahid B. (13805659700); Dou, Kai (13806169400); Koona, Rafiq A. (6507170206)",Applied Radiation and Isotopes,2006,10.1016/j.apradiso.2006.03.015
A systematic review of generative adversarial networks (GANs) in plastic surgery,"Zargaran, Alexander (57192085086); Sousi, Sara (57446903400); Glynou, Sevasti P. (58572210400); Mortada, Hatan (57209304553); Zargaran, David (55776298300); Mosahebi, Afshin (55985666400)","Journal of Plastic, Reconstructive and Aesthetic Surgery",2024,10.1016/j.bjps.2024.04.007
Basis and perspectives of artificial intelligence in radiation therapy; [Intelligence artificielle et radiothérapie : quelles bases et quelles perspectives ?],"Burgun, A. (7004335489)",Cancer/Radiotherapie,2019,10.1016/j.canrad.2019.08.005
Generative Adversarial Networks in Cardiology,"Skandarani, Youssef (57212002972); Lalande, Alain (6701831973); Afilalo, Jonathan (16400605600); Jodoin, Pierre-Marc (6507483969)",Canadian Journal of Cardiology,2022,10.1016/j.cjca.2021.11.003
Big Data Solutions for Controversies in Breast Cancer Treatment,"Cobb, Adrienne N. (56669451500); Janjua, Haroon M. (57202914708); Kuo, Paul C. (7201622499)",Clinical Breast Cancer,2021,10.1016/j.clbc.2020.08.003
Analysis of survival adjusted for quality of life using the Q-TWiST function: Interface in R,"Bogart, Emilie (56993578900); Jouin, Anaïs (55794746300); Béhal, Hélène (56487999700); Duhamel, Alain (7006542500); Filleron, Thomas (11840316600); Kramar, Andrew (7006432392)",Computer Methods and Programs in Biomedicine,2016,10.1016/j.cmpb.2015.11.005
