Title,First Author,Journal,Publication Year,DOI,Duplicates,Number
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,Hao J,NMR Biomed,2009,10.1002/nbm.1393,FALSE,1
A comparative study: classification vs. user-based collaborative filtering for clinical prediction,Hao F,BMC Med Res Methodol,2016,10.1186/s12874-016-0261-9,FALSE,1
A comparison of Bayesian spatial models for disease mapping,Best N,Stat Methods Med Res,2005,10.1191/0962280205sm388oa,FALSE,1
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,Benasseur I,Pharmacoepidemiol Drug Saf,2022,10.1002/pds.5403,FALSE,1
A comparison of Cox and logistic regression for use in genome-wide association studies of cohort and case-cohort design,Staley JR,Eur J Hum Genet,2017,10.1038/ejhg.2017.78,FALSE,1
A comparison of methods for fixed effects meta-analysis of individual patient data with time to event outcomes,Tudur Smith C,Clin Trials,2007,10.1177/1740774507085276,FALSE,1
A comparison of synthetic data generation and federated analysis for enabling international evaluations of cardiovascular health,Azizi Z,Sci Rep,2023,10.1038/s41598-023-38457-3,FALSE,1
A comparison study on creating simulated patient data for individuals suffering from chronic coronary disorders,Koloi A,Annu Int Conf IEEE Eng Med Biol Soc,2023,10.1109/EMBC40787.2023.10340194,FALSE,1
A comprehensive review and shiny application on the matching-adjusted indirect comparison,Jiang Z,Res Synth Methods,2024,10.1002/jrsm.1709,FALSE,1
"A Comprehensive Review Study on: Optimized Data Mining, Machine Learning and Deep Learning Techniques for Breast Cancer Prediction in Big Data Context","Kirola, Madhu (57226121339); Memoria, Minakshi (57218936166); Dumka, Ankur (56159612000); Tripathi, Amrendra (56316553500); Joshi, Kapil (57209511667)",Biomedical and Pharmacology Journal,2022,10.13005/bpj/2339,FALSE,1
A Data-Driven Model for Simulating Longitudinal Visual Field Tests in Glaucoma,"Li, Yan (57872485500); Eizenman, Moshe (6701402159); Shi, Runjie B. (57204479156); Buys, Yvonne M. (7003519598); Trope, Graham E. (35601121500); Wong, Willy (7403972221)",Translational Vision Science and Technology,2023,10.1167/tvst.12.6.27,FALSE,1
A Deep Learning Framework for Predicting Patient Decannulation on Extracorporeal Membrane Oxygenation Devices: Development and Model Analysis Study,Fuller J,JMIR Biomed Eng,2024,10.2196/48497,FALSE,1
A digital twins machine learning model for forecasting disease progression in stroke patients,"Allen, Angier (57211532103); Siefkas, Anna (57218477307); Pellegrini, Emily (57211535118); Burdick, Hoyt (57216730526); Barnes, Gina (57218478476); Calvert, Jacob (57189321063); Mao, Qingqing (43361568200); Das, Ritankar (57173576500)",Applied Sciences (Switzerland),2021,10.3390/app11125576,FALSE,1
A Dirichlet process mixture model for the analysis of correlated binary responses,"Jara, Alejandro (25629702000); José García-Zattera, María (16301283000); Lesaffre, Emmanuel (19135017500)",Computational Statistics and Data Analysis,2007,10.1016/j.csda.2006.09.010,FALSE,1
A flexible framework for sequential estimation of model parameters in computational hemodynamics,Arthurs CJ,Adv Model Simul Eng Sci,2020,10.1186/s40323-020-00186-x,FALSE,1
A flexible mixed data model applied to claims data for post-market surveillance of prescription drug safety behavior,"Butler, H; Rice, JD; Carlson, NE; Morrato, EH",PHARMACEUTICAL STATISTICS,2022,10.1002/pst.2213,FALSE,1
A Framework for Evaluating Synthetic Electronic Health Records,Budu E,Stud Health Technol Inform,2023,10.3233/SHTI230149,FALSE,1
A framework for mining signatures from event sequences and its applications in healthcare data,Wang F,IEEE Trans Pattern Anal Mach Intell,2013,10.1109/TPAMI.2012.111,FALSE,1
A framework for the detection of de novo mutations in family-based sequencing data,Francioli LC,Eur J Hum Genet,2017,10.1038/ejhg.2016.147,FALSE,1
A framework for the economic analysis of data collection methods for vital statistics,Jimenez-Soto E,PLoS One,2014,10.1371/journal.pone.0106234,FALSE,1
A Generative Adversarial Network (GAN) Technique for Internet of Medical Things Data,Vaccari I,Sensors (Basel),2021,10.3390/s21113726,FALSE,1
A Generative and Causal Pharmacokinetic Model for Factor VIII in Hemophilia A: A Machine Learning Framework for Continuous Model Refinement,Janssen A,Clin Pharmacol Ther,2024,10.1002/cpt.3203,FALSE,1
A hierarchically adaptable spatial regression model to link aggregated health data and environmental data,"Truong, Phuong N. (55508145000); Stein, Alfred (7401758587)",Spatial Statistics,2018,10.1016/j.spasta.2017.11.002,FALSE,1
A hybrid dynamic wavelet-based modeling method for blood glucose concentration prediction in type 1 diabetes,"Isfahani, Mohsen (57212196209); Zekri, Maryam (23981791800); Marateb, Hamid (35759194200); Faghihimani, Elham (57189574613)",Journal of Medical Signals and Sensors,2020,10.4103/jmss.JMSS_62_19,FALSE,1
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,Weng X,Comput Biol Med,2024,10.1016/j.compbiomed.2023.107687,FALSE,1
"A joint model for multistate disease processes and random informative observation times, with applications to electronic medical records data",Lange JM,Biometrics,2015,10.1111/biom.12252,FALSE,1
A joint spatial factor analysis model to accommodate data from misaligned areal units with application to Louisiana social vulnerability,Nethery RC,Biostatistics,2019,10.1093/biostatistics/kxy016,FALSE,1
A Learned Reconstruction Network for SPECT Imaging,Shao W,IEEE Trans Radiat Plasma Med Sci,2021,10.1109/trpms.2020.2994041,FALSE,1
A likelihood ratio approach for utilizing case-control data in the clinical classification of rare sequence variants: application to BRCA1 and BRCA2,Zanti M,Hum Mutat,2023,10.1155/2023/9961341,FALSE,1
A linearization approach for the model-based analysis of combined aggregate and individual patient data,Ravva P,Stat Med,2014,10.1002/sim.6045,FALSE,1
A machine learning approach for individual claims reserving in insurance,"Baudry, Maximilien (57208597185); Robert, Christian Y. (8419063900)",Applied Stochastic Models in Business and Industry,2019,10.1002/asmb.2455,FALSE,1
A memory-based simulated annealing algorithm and a new auxiliary function for the fixed-outline floorplanning with soft blocks,"Zou, Dexuan (1); Wang, Gai-Ge (2); Sangaiah, Arun K. (3); Kong, Xiangyong (1)",Journal of Ambient Intelligence and Humanized Computing,2024,,FALSE,1
A method for cohort selection of cardiovascular disease records from an electronic health record system,Abrahão MTF,Int J Med Inform,2017,10.1016/j.ijmedinf.2017.03.015,FALSE,1
A method for detecting and characterizing outbreaks of infectious disease from clinical reports,Cooper GF,J Biomed Inform,2015,10.1016/j.jbi.2014.08.011,FALSE,1
A method for generating synthetic longitudinal health data,Mosquera L,BMC Med Res Methodol,2023,10.1186/s12874-023-01869-w,FALSE,1
A method for model-free partial volume correction in oncological PET,Hofheinz F,EJNMMI Res,2012,10.1186/2191-219X-2-16,FALSE,1
A Multifaceted benchmarking of synthetic electronic health record generation models,Yan C,Nat Commun,2022,10.1038/s41467-022-35295-1,FALSE,1
A multiple imputation approach to disclosure limitation for high-age individuals in longitudinal studies,An D,Stat Med,2010,10.1002/sim.3974,FALSE,1
A Neighborhood-Similarity-Based Imputation Algorithm for Healthcare Data Sets: A Comparative Study,"Wilcox, Colin (57425905500); Giagos, Vasileios (56012792400); Djahel, Soufiene (35606478200)",Electronics (Switzerland),2023,10.3390/electronics12234809,FALSE,1
A new AI assisted medical molecular image diagnostic model,"Premananthan, G. (56884645300); Nagaraj, B. (36495195200); Jaya, J. (56084695700)",Journal of Intelligent and Fuzzy Systems,2023,10.3233/JIFS-223354,FALSE,1
A new approach for the deep order preserving submatrix problem based on sequential pattern mining,"Xue, Yun (1); Li, Tiechen (1); Liu, Zhiwen (1); Pang, Chaoyi (2); Li, Meihang (1); Liao, Zhengling (1); Hu, Xiaohui (1)",International Journal of Machine Learning and Cybernetics,2018,,FALSE,1
A new criterion for model selection,"Pham, Hoang (7201637869)",Mathematics,2019,10.3390/MATH7121215,FALSE,1
A new Internet of Things architecture for real-time prediction of various diseases using machine learning on big data environment,"Ed-daoudy, Abderrahmane (57207360390); Maalmi, Khalil (7801502982)",Journal of Big Data,2019,10.1186/s40537-019-0271-7,FALSE,1
A new method for creating electrophysiological maps for DBS surgery and their application to surgical guidance,Pallavaram S,Med Image Comput Comput Assist Interv,2008,10.1007/978-3-540-85988-8_80,FALSE,1
A new method for protecting interrelated time series with Bayesian prior distributions and synthetic data,"Schneider, Matthew J. (55000354200); Abowd, John M. (6603611569)",Journal of the Royal Statistical Society. Series A: Statistics in Society,2015,10.1111/rssa.12100,FALSE,1
A non-linear regression method for estimation of gene-environment heritability,Kerin M,Bioinformatics,2021,10.1093/bioinformatics/btaa1079,FALSE,1
A novel generative adversarial networks modelling for the class imbalance problem in high dimensional omics data,Cusworth S,BMC Med Inform Decis Mak,2024,10.1186/s12911-024-02487-2,FALSE,1
A Novel Machine-Learning-Based Hybrid CNN Model for Tumor Identification in Medical Image Processing,"Dhiman, Gaurav (23049229800); Juneja, Sapna (57210408722); Viriyasitavat, Wattana (57224272289); Mohafez, Hamidreza (57189693027); Hadizadeh, Maryam (57189686153); Islam, Mohammad Aminul (57220973693); El Bayoumy, Ibrahim (26421568400); Gulati, Kamal (57192543463)",Sustainability (Switzerland),2022,10.3390/su14031447,FALSE,1
A novel method to create realistic synthetic medication data,Hodges R,JAMIA Open,2023,10.1093/jamiaopen/ooad052,FALSE,1
A Novel Multi-objective Evolutionary Algorithm Hybrid Simulated Annealing Concept for¬†Recommendation Systems,"Du, Yu (1); Bao, Haijia (1); Li, Ya (1)",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2024,,FALSE,1
A Novel Small-Data Based Approach for Decoding Yes/No-Decisions of Locked-In Patients Using Generative Adversarial Networks,"Penava, Pascal (58177313400); Buettner, Ricardo (24831738000)",IEEE Access,2023,10.1109/ACCESS.2023.3326720,FALSE,1
A Pareto-based hybrid genetic simulated annealing algorithm for multi-objective hybrid production line balancing problem considering disassembly and assembly,"Sun, Xiang (1, 2); Guo, Shunsheng (1, 2); Guo, Jun (1, 2); Du, Baigang (1, 2); Yang, Zhijie (1, 2); Wang, Kaipu (1, 2)",International Journal of Production Research,2024,,FALSE,1
A Privacy-Preserving Log-Rank Test for the Kaplan-Meier Estimator With Secure Multiparty Computation: Algorithm Development and Validation,von Maltitz M,JMIR Med Inform,2021,10.2196/22158,FALSE,1
A privacy-preserving technique for incremental dataset on cloud by synthetic data perturbation,"Vigneswari, D. (57203924588); Komal Kumar, N. (57212324259); Lakshmi Tulasi, R. (56422406600)",International Journal of Engineering and Technology(UAE),2018,,FALSE,1
A probabilistic generative model to discover the treatments of coexisting diseases with missing data,Zaballa O,Comput Methods Programs Biomed,2024,10.1016/j.cmpb.2023.107870,FALSE,1
A public health nursing informatics data-and-practice quality project,Monsen KA,Comput Inform Nurs,2006,10.1097/00024665-200605000-00012,FALSE,1
A re-analysis of the Cochrane Library data: the dangers of unobserved heterogeneity in meta-analyses,Kontopantelis E,PLoS One,2013,10.1371/journal.pone.0069930,FALSE,1
A Review of Recent Advances in Translational Bioinformatics: Bridges from Biology to Medicine,Vamathevan J,Yearb Med Inform,2017,10.15265/IY-2017-017,FALSE,1
A roadmap for applying machine learning when working with privacy-sensitive data: predicting non-response to treatment for eating disorders,Svendsen VG,Expert Rev Pharmacoecon Outcomes Res,2023,10.1080/14737167.2023.2230368,FALSE,1
A Secure Data Publishing and Access Service for Sensitive Data from Living Labs: Enabling Collaboration with External Researchers via Shareable Data,"Hernandez, Mikel (1, 2); Konstantinidis, Evdokimos (3, 4); Epelde, Gorka (2, 5); Londo√±o, Francisco (2); Petsani, Despoina (3); Timoleon, Michalis (3); Fiska, Vasiliki (6); Mpaltadoros, Lampros (6); Maga-Nteve, Christoniki (6); Machairas, Ilias (3); Bamidis, Panagiotis D. (3)",Big Data and Cognitive Computing,2024,,FALSE,1
A signal detection method to detect adverse drug reactions using a parametric time-to-event model in simulated cohort data,Cornelius VR,Drug Saf,2012,10.2165/11599740-000000000-00000,FALSE,1
A Simulation Framework for Modeling the Within-Patient Evolutionary Dynamics of SARS-CoV-2,Terbot JW 2nd,Genome Biol Evol,2023,10.1093/gbe/evad204,FALSE,1
A simulation study of finite-sample properties of marginal structural Cox proportional hazards models,"Westreich, D; Cole, SR; Schisterman, EF; Platt, RW",STATISTICS IN MEDICINE,2012,10.1002/sim.5317,FALSE,1
A stochastic model to assess the variability of blood glucose time series in diabetic patients self-monitoring,"Magni, Paolo (55348245700); Bellazzi, Riccardo (58709404600)",IEEE Transactions on Biomedical Engineering,2006,10.1109/TBME.2006.873388,FALSE,1
A study on the feasibility of the Deep Brain Stimulation (DBS) electrode localization based on scalp electric potential recordings,"Iacono, Maria Ida (25321178800); Atefi, Seyed Reza (55516816000); Mainardi, Luca (7007078486); Walker, Harrison C. (15749709200); Angelone, Leonardo M. (57208685902); Bonmassar, Giorgio (6603696502)",Frontiers in Physiology,2019,10.3389/fphys.2018.01788,FALSE,1
A Survey of Generative Adversarial Networks for Synthesizing Structured Electronic Health Records,"Ghosheh, Ghadeer O. (1); Li, Jin (2); Zhu, Tingting (1)",ACM Computing Surveys,2024,,FALSE,1
A synthetic data generation system for myalgic encephalomyelitis/chronic fatigue syndrome questionnaires,Lacasa M,Sci Rep,2023,10.1038/s41598-023-40364-6,FALSE,1
A synthetic dataset of liver disorder patients,Nicora G,Data Brief,2023,10.1016/j.dib.2023.108921,FALSE,1
A systematic review of generative adversarial networks (GANs) in plastic surgery,"Zargaran, Alexander (57192085086); Sousi, Sara (57446903400); Glynou, Sevasti P. (58572210400); Mortada, Hatan (57209304553); Zargaran, David (55776298300); Mosahebi, Afshin (55985666400)","Journal of Plastic, Reconstructive and Aesthetic Surgery",2024,10.1016/j.bjps.2024.04.007,FALSE,1
A Tutorial on Applying the Difference-in-Differences Method to Health Data,"Rothbard, S; Etheridge, JC; Murray, EJ",CURRENT EPIDEMIOLOGY REPORTS,2024,10.1007/s40471-023-00327-x,FALSE,1
A tutorial on individualized treatment effect prediction from randomized trials with a binary endpoint,Hoogland J,Stat Med,2021,10.1002/sim.9154,FALSE,1
A two-step deep learning method for 3DCT-2DUS kidney registration during breathing,Chi Y,Sci Rep,2023,10.1038/s41598-023-40133-5,FALSE,1
Access to primary mental health care for hard-to-reach groups: from 'silent suffering' to 'making it work',Kovandžić M,Soc Sci Med,2011,10.1016/j.socscimed.2010.11.027,FALSE,1
Accounting for treatment use when validating a prognostic model: a simulation study,Pajouheshnia R,BMC Med Res Methodol,2017,10.1186/s12874-017-0375-8,FALSE,1
Accuracy of partial volume effect correction in clinical molecular imaging of dopamine transporter using SPECT,"Soret, Marine (6701447484); Alaoui, Jawad (15822103500); Koulibaly, Pierre M. (35560740600); Darcourt, Jacques (7003569180); Buvat, Irène (35508472200)","Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",2007,10.1016/j.nima.2006.10.236,FALSE,1
Accurate solution of the Index Tracking problem with a hybrid simulated annealing algorithm,"Rubio-Garc√≠a, √Ålvaro (1, 2); Fern√°ndez-Lorenzo, Samuel (2); Garc√≠a-Ripoll, Juan Jos√© (1); Porras, Diego (1)",Physica A: Statistical Mechanics and its Applications,2024,,FALSE,1
Achieving Searchable and Privacy-Preserving Data Sharing for Cloud-Assisted E-Healthcare System,"Xu, Chang (55725660100); Wang, Ningning (57211319106); Zhu, Liehuang (7404201289); Sharif, Kashif (11440580700); Zhang, Chuan (57194189076)",IEEE Internet of Things Journal,2019,10.1109/JIOT.2019.2917186,FALSE,1
Active Safety Monitoring of New Medical Products Using Electronic Healthcare Data Selecting Alerting Rules,"Gagne, JJ; Rassen, JA; Walker, AM; Glynn, RJ; Schneeweiss, S",EPIDEMIOLOGY,2012,10.1097/EDE.0b013e3182459d7d,FALSE,1
Adapting national data systems for donor transition: comparative analysis of experience from Georgia and China,Chikovani I,Health Policy Plan,2024,10.1093/heapol/czad098,FALSE,1
Adaptive Sparsity Regularization Based Collaborative Clustering for Cancer Prognosis,Liu H,Med Image Comput Comput Assist Interv,2019,10.1007/978-3-030-32251-9_64,FALSE,1
Addressing healthcare disparities and managed care considerations with continuous glucose monitoring,McAdam-Marx C,Am J Manag Care,2022,10.37765/ajmc.2022.89215,FALSE,1
"Addressing Posttreatment Selection Bias in Comparative Effectiveness Research, Using Real-World Data and Simulation",Belviso N,Am J Epidemiol,2022,10.1093/aje/kwab242,FALSE,1
Adjusting for sampling variability in sparse data: geostatistical approaches to disease mapping,Hampton KH,Int J Health Geogr,2011,10.1186/1476-072X-10-54,FALSE,1
Adjustment for unmeasured confounding through informative priors for the confounder-outcome relation,Groenwold RHH,BMC Med Res Methodol,2018,10.1186/s12874-018-0634-3,FALSE,1
Age Group and Sex Differences in Performance on a Computerized Neurocognitive Battery in Children Age 8-21,"Gur, RC; Richard, J; Calkins, ME; Chiavacci, R; Hansen, JA; Bilker, WB; Loughead, J; Connolly, JJ; Qiu, HJ; Mentch, FD; Abou-Sleiman, PM; Hakonarson, H; Gur, RE",NEUROPSYCHOLOGY,2012,10.1037/a0026712,FALSE,1
Agreement between coding schemas used to identify bleeding-related hospitalizations in claims analyses of nonvalvular atrial fibrillation patients,Coleman CI,Clin Cardiol,2018,10.1002/clc.22861,FALSE,1
AI and semantic ontology for personalized activity eCoaching in healthy lifestyle recommendations: a meta-heuristic approach,Chatterjee A,BMC Med Inform Decis Mak,2023,10.1186/s12911-023-02364-4,FALSE,1
Alleviation of Health Data Poverty for Skin Lesions using ACGAN: Systematic Review,"Ravikumar, Aswathy (56045074100); Sriraman, Harini (57193768349); Chadha, Chandan (59185559500); Chattu, Vijay Kumar (55743746500)",IEEE Access,2024,10.1109/ACCESS.2024.3417176,FALSE,1
An adaptive information-theoretic experimental design procedure for high-to-low fidelity calibration of prostate cancer models,Cho H,Math Biosci Eng,2023,10.3934/mbe.2023799,FALSE,1
An ear-worn sensor for the detection of gait impairment after abdominal surgery,Atallah L,Surg Innov,2013,10.1177/1553350612445639,FALSE,1
An evaluation of synthetic data augmentation for mitigating covariate bias in health data,Juwara L,Patterns (N Y),2024,10.1016/j.patter.2024.100946,FALSE,1
An evaluation of the replicability of analyses using synthetic health data,El Emam K,Sci Rep,2024,10.1038/s41598-024-57207-7,FALSE,1
AN EWMA CONTROL CHART FOR THE EXPONENTIAL DISTRIBUTION USING REPETITIVE SAMPLING PLAN,"Azam, M; Aslam, M; Jun, CH",OPERATIONS RESEARCH AND DECISIONS,2017,10.5277/ord170201,FALSE,1
An integrated and sustainable EU health information system: national public health institutes' needs and possible benefits,Bogaert P,Arch Public Health,2017,10.1186/s13690-016-0171-7,FALSE,1
An Intelligent Healthcare Cyber Physical Framework for Encephalitis Diagnosis Based on Information Fusion and Soft-Computing Techniques,Gupta A,New Gener Comput,2022,10.1007/s00354-022-00175-1,FALSE,1
An intelligent system for predicting and preventing MERS-CoV infection outbreak,Sandhu R,J Supercomput,2016,10.1007/s11227-015-1474-0,FALSE,1
An Investigation of Stochastic Variance Reduction Algorithms for Relative Difference Penalized 3D PET Image Reconstruction,Twyman R,IEEE Trans Med Imaging,2023,10.1109/TMI.2022.3203237,FALSE,1
An IoT enabled smart healthcare system using deep reinforcement learning,"Jagannath, Duraiswamy Jothinath (55943370700); Dolly, Raveena Judie (56405637500); Let, Gunamony Shine (57218689358); Peter, James Dinesh (57203535407)",Concurrency and Computation: Practice and Experience,2022,10.1002/cpe.7403,FALSE,1
An ontological layer for decision support data and task integration,"Casella dos Santos, Mariana (8922244700); Dhaen, Christoffel (8227581400)",Journal on Information Technology in Healthcare,2005,,FALSE,1
An optimised multivariable regression model for predictive analysis of diabetic disease progression,"Daliya, V.K. (57202234091); Ramesh, T.K. (55233524200); Ko, Seok-Bum (57918890700)",IEEE Access,2021,10.1109/ACCESS.2021.3096139,FALSE,1
An overview of synthetic administrative data for research,Kokosi T,Int J Popul Data Sci,2022,10.23889/ijpds.v7i1.1727,FALSE,1
Analysis of censored discrete longitudinal data: Estimation of mean response,"Gunnes, N; Farewell, DM; Seierstad, TG; Aalen, OO",STATISTICS IN MEDICINE,2009,10.1002/sim.3492,FALSE,1
Analysis of survival adjusted for quality of life using the Q-TWiST function: Interface in R,Bogart E,Comput Methods Programs Biomed,2016,10.1016/j.cmpb.2015.11.005,FALSE,1
Analyzing Medical Research Results Based on Synthetic Data and Their Relation to Real Data Results: Systematic Comparison From Five Observational Studies,Reiner Benaim A,JMIR Med Inform,2020,10.2196/16492,FALSE,1
Anatomically-aided PET reconstruction using the kernel method,Hutchcroft W,Phys Med Biol,2016,10.1088/0031-9155/61/18/6668,FALSE,1
Anomaly Detection and Artifact Recovery in PET Attenuation-Correction Images Using the Likelihood Function,Laymon CM,IEEE J Sel Top Signal Process,2013,10.1109/JSTSP.2012.2237380,FALSE,1
Anomaly Detection in Activities of Daily Living with Linear Drift,"Belmonte-Fernández, Óscar (6508109883); Caballer-Miedes, Antonio (7801312529); Chinellato, Eris (6508125939); Montoliu, Raúl (22734878800); Sansano-Sansano, Emilio (57201135498); García-Vidal, Rubén (57217534762)",Cognitive Computation,2020,10.1007/s12559-020-09740-6,FALSE,1
Anomaly Identification during Polymerase Chain Reaction for Detecting SARS-CoV-2 Using Artificial Intelligence Trained from Simulated Data,Villarreal-González R,Molecules,2020,10.3390/molecules26010020,FALSE,1
Anonymisation of geographical distance matrices via Lipschitz embedding,"Kroll, M; Schnell, R",INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,2016,10.1186/s12942-015-0031-7,FALSE,1
Anonymization Through Data Synthesis Using Generative Adversarial Networks (ADS-GAN),Yoon J,IEEE J Biomed Health Inform,2020,10.1109/JBHI.2020.2980262,FALSE,1
Application of a nonrandomized stepped wedge design to evaluate an evidence-based quality improvement intervention: a proof of concept using simulated data on patient-centered medical homes,Huynh AK,BMC Med Res Methodol,2016,10.1186/s12874-016-0244-x,FALSE,1
Application of Bayesian networks to generate synthetic health data,Kaur D,J Am Med Inform Assoc,2021,10.1093/jamia/ocaa303,FALSE,1
Application of Extreme Learning Machine in the Survival Analysis of Chronic Heart Failure Patients With High Percentage of Censored Survival Time,Yang H,Front Cardiovasc Med,2021,10.3389/fcvm.2021.726516,FALSE,1
Application of synthetic patient data in the assessment of rapid rule-out protocols using Point-of-Care testing during chest pain diagnosis in a UK emergency department,"Robinson, S. (35071850700); FitzGibbon, F. (23392300500); Eatock, J. (57202972432); Hunniford, T. (11142080100); Dixon, D. (57202462690); Meenan, B.J. (6701723245)",Journal of Simulation,2009,10.1057/jos.2009.4,FALSE,1
Approximating the sum of independent non-identical binomial random variables,"Liu, Boxiang (57194459121); Quertermous, Thomas (56425902800)",R Journal,2018,10.32614/rj-2018-011,FALSE,1
"Artificial intelligence and secure use of health data in the KI-FDZ project: anonymization, synthetization, and secure processing of real-world data","Prasser, F; Riedel, N; Wolter, S; Corr, D; Ludwig, M",BUNDESGESUNDHEITSBLATT-GESUNDHEITSFORSCHUNG-GESUNDHEITSSCHUTZ,2024,10.1007/s00103-023-03823-z,FALSE,1
Artificial intelligence in healthcare: A bibliometric analysis,"Jimma, Bahiru Legesse (57734355400)",Telematics and Informatics Reports,2023,10.1016/j.teler.2023.100041,FALSE,1
Artificial Intelligence-Based Framework for Analyzing Health Care Staff Security Practice: Mapping Review and Simulation Study,Yeng PK,JMIR Med Inform,2021,10.2196/19250,FALSE,1
Artificial intelligence: A rapid case for advancement in the personalization of Gynaecology/Obstetric and Mental Health care,Delanerolle G,Womens Health (Lond),2021,10.1177/17455065211018111,FALSE,1
Assessing and increasing patient panel size in the public sector,Marx R,J Public Health Manag Pract,2011,10.1097/PHH.0b013e318211393c,FALSE,1
Assessing function of electronic health records for real-world data generation,Guinn D,BMJ Evid Based Med,2019,10.1136/bmjebm-2018-111111,FALSE,1
Assessing older adults' perceptions of sensor data and designing visual displays for ambient environments,"Reeder, B. (26435488900); Chung, J. (55551849000); Le, T. (55430971700); Thompson, H. (8079106600); Demiris, G. (6701805951)",Methods of Information in Medicine,2014,10.3414/ME13-02-0009,FALSE,1
Assessing the ability of health information systems in hospitals to support evidence-informed decisions in Kenya,Kihuba E,Glob Health Action,2014,10.3402/gha.v7.24859,FALSE,1
Assessing the accuracy of land cover change with imperfect ground reference data,"Foody, Giles M. (7007014233)",Remote Sensing of Environment,2010,10.1016/j.rse.2010.05.003,FALSE,1
Assessing the calibration of mortality benchmarks in critical care: The Hosmer-Lemeshow test revisited,"Kramer, Andrew A. (7401931977); Zimmerman, Jack E. (57207900961)",Critical Care Medicine,2007,10.1097/01.CCM.0000275267.64078.B0,FALSE,1
Assessment of variability in irregularly sampled time series: Applications to mental healthcare,"Bonilla-Escribano, Pablo (57211775009); Ramírez, David (57192768373); Porras-Segovia, Alejandro (57196944371); Artés-Rodríguez, Antonio (6603954601)",Mathematics,2021,10.3390/math9010071,FALSE,1
Associations of Perfluoroalkyl Substances (PFAS) with Lower Birth Weight: An Evaluation of Potential Confounding by Glomerular Filtration Rate Using a Physiologically Based Pharmacokinetic Model (PBPK),"Verner, MA; Loccisano, AE; Morken, NH; Yoon, M; Wu, HL; McDougall, R; Maisonet, M; Marcus, M; Kishi, R; Miyashita, C; Chen, MH; Hsieh, WS; Andersen, ME; Clewell, HJ; Longnecker, MP",ENVIRONMENTAL HEALTH PERSPECTIVES,2015,10.1289/ehp.1408837,FALSE,1
Attenuation-emission alignment in cardiac PET/CT based on consistency conditions,Alessio AM,Med Phys,2010,10.1118/1.3315368,FALSE,1
